"Header","2016","2017","2018","2019","2020","2021"
"     dont Autres entreprises",3050.9,2245.4,3375.513,3320.366,1155.856,937.184
"     dont Hors Union européenne",313.7,324.7,320.418,390.423,259.462,336.123
"     dont Opérateurs en ligne",57.2,35.8,152.175,212.376,84.283,130.114
"     dont Union européenne",1329.6,599.5,650.928,724.203,426.944,732.355
"     dont Voyagistes et Agences de voyages (hors opérateurs en ligne) ",37,43.9,129.372,690.244,255.028,239.744
"5520Z - Hébergement touristique et autre hébergement de courte durée",4693.1,3863.8,3811.072,4573.366,2940.349,3001.64
"7911Z - Activités des agences de voyage",482.6,532.7,547.185,560.754,278.86,NA
"Achats de produits alimentaires (y compris boissons et plats cuisinés)",249.9,141.6,51.115,97.443,56.98,56.011
"Achats ou reversements de transports, hébergements, restauration, spectacles destinés à être revendus en l'état",233.2,251.1,267.126,215.582,184.549,168.573
"Achats ou reversements de voyages organisés par d'autres entreprises",12.7,10,52.9,48.252,32.751,4.648
"Administrations",285.5,116.9,93.905,218.883,71.733,141.994
"Chiffre d'affaires hors taxes (en millions d'euros)",6905.1,5722.9,6060.988,6877.429,4597.244,4659.85
"Clientèle étrangère",1643.3,924.2,971.347,1114.626,686.407,1068.477
"Clientèle nationale",5261.8,4798.6,5089.641,5762.803,3910.837,3591.373
"Commissions reversées à des confrères pour vente de voyages organisés",71.6,70.4,62.473,102.37,58.301,36.759
"Dépenses de promotion",53.3,52.7,45.177,50.399,53.857,31.413
"Effectifs équivalent temps plein (ETP) sur l'exercice comptable",38538,31162,28211.4,31714.5,21728.9,23826.1
"Entreprises",3145.1,2325.2,3657.06,4222.986,1495.167,1307.042
"Excédent Brut d'Exploitation (en millions d'euros)",427.2,248.7,165.775,587.987,-390.264,-110.581
"Frais de personnel (en millions d'euros)",1432.9,1169.3,1199.773,1282.915,1048.454,1069.682
"Investissements corporels bruts hors apports (en millions d'euros)",872.7,695.5,954.605,2222.932,1032.883,1374.953
"Nombre total d'entreprises",24429,23222,24774,27488,29447,32419
"Particuliers",3474.5,3280.8,2310.023,2435.56,3030.344,3210.815
"SO= Sans objet ; NR = Non renseigné.",NA,NA,NA,NA,NA,NA
"Sous-traitance : études et prestations de services incorporées à la production",5.7,7.6,10.7,2.1,2.5,4.3
"Sous-traitance : matériel, équipements et travaux incorporés à la production",3.3,5.9,2.9,1.3,0.2,1.2
"Total de toutes les dépenses professionnelles",636,527,489.848,550.479,395.538,302.079
"Valeur ajoutée hors taxes (en millions d'euros)",2018.9,1543.4,1507.321,2033.243,688.408,658.515
