"Header","2016","2017","2018","2019","2020","2021"
"     dont Hors Union européenne",122.4,134.1,577.735,640.814,277.182,114.002
"     dont Union européenne",251.2,537.3,245.029,227.72,158.005,469.643
"5621Z - Services des traiteurs",1984.3,2070.6,2182.372,2574.411,1370.298,1649.847
"5629A - Restauration collective sous contrat",5623.3,5833.3,6248.134,6400.044,3941.223,3957.843
"5629B - Autres services de restauration n.c.a.",2141.6,2305.6,2353.751,2332.241,1913.418,2078.644
"Achats de produits alimentaires (y compris boissons et plats cuisinés)",2446.3,2730.4,2071.112,2036.619,1746.963,1656.999
"Administrations",3435,2701.1,3786.191,3045.856,2633.339,2830.602
"Chiffre d'affaires hors taxes (en millions d'euros)",12642.9,12957.7,14111.812,14885.986,9710.929,10060.975
"Clientèle étrangère",373.6,671.4,822.764,868.534,435.187,583.646
"Clientèle nationale",12269.3,12286.3,13289.048,14017.452,9275.741,9477.33
"Effectifs équivalent temps plein (ETP) sur l'exercice comptable",128140,124813,133817.2,133952.4,102529.6,110718.6
"Entreprises",6272.9,6568,6137.446,6314.993,5126.32,5156.601
"Excédent Brut d'Exploitation (en millions d'euros)",605.8,932.5,589.199,619.66,-125.155,200.839
"Frais de personnel (en millions d'euros)",5125.3,5012,5555.167,5511.147,4336.031,4506.32
"Investissements corporels bruts hors apports (en millions d'euros)",405.9,406.2,411.751,430.779,321.776,293.949
"Nombre total d'entreprises",9906,10090,10025,11428,12008,12443
"Particuliers",2935,3688.5,4188.175,5525.137,1951.269,2073.772
"SO= Sans objet ; NR = Non renseigné.",NA,NA,NA,NA,NA,NA
"Sous-traitance : études et prestations de services incorporées à la production",NA,23,4.3,4,1.3,2.7
"Sous-traitance : matériel, équipements et travaux incorporés à la production",NA,12.8,1.1,4.2,0.4,0.7
"Total de toutes les dépenses professionnelles",2457.2,2736,2072.781,2038.871,1746.963,1686.627
"Valeur ajoutée hors taxes (en millions d'euros)",5960.4,6176.3,6392.414,6361.355,4316.072,4571.421
