"Header","2016","2017","2018","2019","2020","2021"
"     dont Autres entreprises",4624.1,5633.2,4591.3,5018.11,2015.294,2934.783
"     dont Hors Union européenne",2709.4,3101,3288.617,3209.556,974.839,1356.748
"     dont Opérateurs en ligne",656.9,753.9,1397.514,2625.952,1202.525,1416.412
"     dont Union européenne",3574.3,4210.7,4320.926,4403.452,1833.162,1936.284
"     dont Voyagistes et Agences de voyages (hors opérateurs en ligne) ",534.1,725.5,1558.586,3257.431,1097.39,982.094
"5510Z - Hôtels et hébergement similaire",11662.6,13302.2,14193.33,13675.415,7463.125,9620.742
"5610A - Restauration traditionnelle",2363.9,2295.9,2726.629,2241.502,1010.323,1142.775
"Achats de produits alimentaires (y compris boissons et plats cuisinés)",989.9,986.5,612.687,633.184,327.61,352.742
"Administrations",588.2,732.5,893.378,221.093,340.758,852.627
"Chiffre d'affaires hors taxes (en millions d'euros)",16311.8,18197,19361.82,18605.983,10419.841,12777.519
"Clientèle étrangère",6283.7,7311.7,7609.543,7613.008,2808.001,3293.032
"Clientèle nationale",10028,10885.3,11752.276,10992.975,7611.84,9484.486
"Commissions reversées à des agences de voyages (hors opérateurs en ligne)",93,124,99.542,114.485,52.863,60.221
"Commissions reversées à des opérateurs en ligne",161.7,NA,137.197,165.758,86.466,122.41
"Effectifs équivalent temps plein (ETP) sur l'exercice comptable",130847,165198,142807.4,147579.5,96083.3,112072.4
"Entreprises",5815,7112.6,7547.4,10901.493,4315.208,5333.289
"Excédent Brut d'Exploitation (en millions d'euros)",1675.7,2149.8,2180.084,2059.359,-931.934,1317.254
"Frais de personnel (en millions d'euros)",5449.5,5894.3,6264.85,6137.408,3987.253,4623.042
"Investissements corporels bruts hors apports (en millions d'euros)",2774.5,2530.4,2800.278,3696.188,3257.585,3547.428
"Nombre total d'entreprises",22279,21792,21369,21371,20634,20734
"Particuliers",9908.5,10352,10921.041,7483.397,5763.875,6591.602
"SO= Sans objet ; NR = Non renseigné.",NA,NA,NA,NA,NA,NA
"Sous-traitance : études et prestations de services incorporées à la production",5.6,9.6,5.6,10,11.3,15.8
"Sous-traitance : matériel, équipements et travaux incorporés à la production",2.5,4.4,3.5,6,3.9,10
"Total de toutes les dépenses professionnelles",1246.4,1503.9,900.431,982.837,490.87,600.393
"Valeur ajoutée hors taxes (en millions d'euros)",7628,8597.6,9058.763,8759.217,3085.033,4758.977
