"Header","2016","2017","2018","2019","2020","2021"
"4721ZO1 - Fruits et légumes frais, pommes de terre",19.9,22.8,23,27.4,33.5,31.3
"Appel à un (ou plusieurs) transporteur(s) pour assurer le transport des marchandises ou de la production",18,NA,8.423,19.79,7.936,8.748
"Autres, France",6.8,10.4,7.7,5.6,4.8,2
"Carburant",0,0,0,0,0,0
"Centrales d'achats, grossistes, France",61.7,58.1,51.5,57.1,68,69.6
"Certains produits ne sont pas connus en détail : ainsi, les libellés des codes se terminant par '..' correspondent à ceux de la NAF sur 5 positions.",NA,NA,NA,NA,NA,NA
"Chiffre d'affaires hors taxes (en millions d'euros)",4980,4382,4693.263,4658.383,3873.077,4198.502
"Effectifs équivalent temps plein (ETP) sur l'exercice comptable",14180,13120,13294.4,17831,11185.7,13196.6
"Ensemble  ",100,100,100,100,100,100
"Fabrication",1.3,0.3,0,0,4.4,5.1
"Frais de publicité (annonces et insertions, imprimés et catalogues, foires et expositions, Internet…)",24,NA,5.32,6.693,15.312,2.413
"Grossistes, centrales d'achats, producteurs, étranger",7.3,9.5,9.2,7.3,6.1,4
"Marge commerciale (en millions d'euros)",1749,1775,1832.021,1810.775,1417.129,1521.98
"Nombre total d'entreprises",94114,86074,75359,76976,73142,71493
"Part du chiffre d'affaires provenant des ventes par Internet",0.7,0.6,1,0.3,1.1,0.4
"Producteurs, filiales de commercialisation, France",24.2,22,31.7,30,21.1,24.4
"Redevances pour concessions, licences, marques, franchises (hors droit d’entrée)",0,NA,0.629,2.559,0.747,0.512
"Services",0,0.2,0.8,0.6,1.6,1.6
"Taux d'autofinancement : Capacité d'autofinancement/ Investissements corporels hors apports ",128.8,111.6,104.9,124,129.6,117.9
"Taux d'Investissement : Investissements / Valeur Ajoutée ",29.9,32.3,30.8,30,31.9,33.4
"Taux de marge commerciale",36.8,40.9,39.4,39.1,38.9,38.9
"Taux de marge d'exploitation : Excédent brut d'exploitation / valeur ajoutée",41.9,39,35.4,41,43.2,40.8
"Taux de rentabilité économique : Excédent Brut d'Exploitation  / (immobilisations + Besoin en Fond de Roulement)  ",18.6,16.6,14.8,18,20.1,20
"Total de ces dépenses",57,NA,20.01,32.402,23.995,11.673
"Total de ces produits",55.8,56.1,60.8,61.5,78.8,72.4
"Vente au détail, hors carburant",98.5,99,97.8,98.7,93.9,92
"Vente en gros",0.2,0.5,1.4,0.6,0.1,1.3
