Header,2018,2019
Nombre total d'entreprises,527,539
Chiffre d'affaires hors taxes (en millions d'euros),49.247,54.273
Effectifs équivalent temps plein (ETP) sur l'exercice comptable,320,321.5
Valeur ajoutée hors taxes (en millions d'euros),27.01,30.956
Excédent Brut d'Exploitation (en millions d'euros),5.223,7.379
Frais de personnel (en millions d'euros),21.208,23.168
Investissements corporels bruts hors apports (en millions d'euros),2.925,2.736
Entreprises,43.963,48.461
     dont Voyagistes et Agences de voyages (hors opérateurs en ligne) ,N,N
     dont Opérateurs en ligne,N,N
     dont Autres entreprises,N,N
Administrations,0.025,0.398
Particuliers,5.259,5.414
Clientèle nationale,47.185,49.148
Clientèle étrangère,2.062,5.125
     dont Union européenne,1.678,2.487
     dont Hors Union européenne,0.384,2.639
Sous-traitance : études et prestations de services incorporées à la production,29.5,22
"Sous-traitance : matériel, équipements et travaux incorporés à la production",6.9,1.8
NR,N,N
NR,N,N
NR,N,N
NR,N,N
NR,N,N
Total de toutes les dépenses professionnelles,N,N
SO= Sans objet ; NR = Non renseigné.,,
8030Z - Activités d'enquête,45.852,51.503
8299Z - Autres activités de soutien aux entreprises n.c.a.,2.464,N
