Header,2018,2019
Nombre total d'entreprises,24835,26341
Chiffre d'affaires hors taxes (en millions d'euros),913.12,1062.097
Effectifs équivalent temps plein (ETP) sur l'exercice comptable,3715.8,4167.7
Valeur ajoutée hors taxes (en millions d'euros),349.362,428.371
Excédent Brut d'Exploitation (en millions d'euros),87.885,156.486
Frais de personnel (en millions d'euros),272.567,314.18
Investissements corporels bruts hors apports (en millions d'euros),108.761,137.337
Entreprises,575.008,624.883
     dont Voyagistes et Agences de voyages (hors opérateurs en ligne) ,N,N
     dont Opérateurs en ligne,N,N
     dont Autres entreprises,N,N
Administrations,92.675,73.237
Particuliers,245.437,363.978
Clientèle nationale,744.33,931.019
Clientèle étrangère,168.79,131.079
     dont Union européenne,92.341,84.843
     dont Hors Union européenne,76.45,46.236
Sous-traitance : études et prestations de services incorporées à la production,4.1,4.9
"Sous-traitance : matériel, équipements et travaux incorporés à la production",3.8,3
Sous-traitance de travaux de développement-tirage aux laboratoires photographiques,21.957,18.892
"Achats de matériel et installations compris dans vos facturations ""clés en main""",0,0
SO,N,N
SO,N,N
SO,N,N
Total de toutes les dépenses professionnelles,21.957,18.892
SO= Sans objet ; NR = Non renseigné.,,
7420Z - Activités photographiques,802.338,922.306
4778C - Autres commerces de détail spécialisés divers,86.207,104.659
