Header,2018,2019
Nombre total d'entreprises,9533,9316
Chiffre d'affaires hors taxes (en millions d'euros),1997.323,2653.201
Effectifs équivalent temps plein (ETP) sur l'exercice comptable,9731.4,11879.2
Valeur ajoutée hors taxes (en millions d'euros),459.346,696.697
Excédent Brut d'Exploitation (en millions d'euros),-142.409,290.6
Frais de personnel (en millions d'euros),683.377,767.03
Investissements corporels bruts hors apports (en millions d'euros),175.448,198.37
Entreprises,1756.837,2306.411
     dont Voyagistes et Agences de voyages (hors opérateurs en ligne) ,N,N
     dont Opérateurs en ligne,N,N
     dont Autres entreprises,N,N
Administrations,107.824,98.173
Particuliers,132.662,248.617
Clientèle nationale,1568.48,2243.96
Clientèle étrangère,428.843,409.24
     dont Union européenne,169.13,263.633
     dont Hors Union européenne,259.713,145.607
Sous-traitance : études et prestations de services incorporées à la production,13.2,15.8
"Sous-traitance : matériel, équipements et travaux incorporés à la production",8,9.9
Location de halls d'exposition,35.34,116.94
Installation de stands d'exposition,16.604,85.116
"Sous-traitances liées aux foires, salons et congrès (nettoyage, gardiennage, accueil, enregistrement des entrées, traduction, etc.)",37.799,31.123
Dépenses de promotion,11.291,27.761
Achats ou reversements de voyages organisés par d'autres entreprises,14.746,12.121
Total de toutes les dépenses professionnelles,138.15,288.902
SO= Sans objet ; NR = Non renseigné.,,
"8230Z - Organisation de foires, salons professionnels et congrès",1595.669,2170.925
