Header,2018,2019
Nombre total d'entreprises,1101,1274
Chiffre d'affaires hors taxes (en millions d'euros),34692.152,36337.557
Effectifs équivalent temps plein (ETP) sur l'exercice comptable,S,S
Valeur ajoutée hors taxes (en millions d'euros),18007.481,18100.741
Excédent Brut d'Exploitation (en millions d'euros),8602.313,8932.692
Frais de personnel (en millions d'euros),8053.208,7994.356
Investissements corporels bruts hors apports (en millions d'euros),7981.665,10417.446
Entreprises,17151.037,20054.064
     dont Voyagistes et Agences de voyages (hors opérateurs en ligne) ,N,N
     dont Opérateurs en ligne,N,N
     dont Autres entreprises,N,N
Administrations,1212.784,1133.518
Particuliers,16328.33,15149.974
Clientèle nationale,34372.647,35941.12
Clientèle étrangère,319.505,396.436
     dont Union européenne,176.517,201.29
     dont Hors Union européenne,142.988,195.147
Sous-traitance : études et prestations de services incorporées à la production,12.5,15.8
"Sous-traitance : matériel, équipements et travaux incorporés à la production",6.6,23.6
Reversements aux opérateurs de télécommunications,197.693,161.098
Reversements aux éditeurs par les serveurs d'informations (notamment reversements aux bases de données),91.323,93.321
"Dépenses liées à la diffusion, Redevance payée aux chaînes pour leur diffusion par câble et satellite",121.036,84.702
"Dépenses liées à la diffusion - Dépenses de transmission (faisceaux hertziens, canaux satellite, transmissions par câble)",45.8,51.16
Achats ou dépenses de crédit-bail (leasing) pour compte de tiers,4.351,3.251
Total de toutes les dépenses professionnelles,461.612,394.136
SO= Sans objet ; NR = Non renseigné.,,
6110Z - Télécommunications filaires,20570.065,21708.891
6120Z - Télécommunications sans fil,8780.715,8814.153
