Header,2018,2019
Nombre total d'entreprises,2293,2336
Chiffre d'affaires hors taxes (en millions d'euros),2010.166,2213.386
Effectifs équivalent temps plein (ETP) sur l'exercice comptable,11999.4,12472.2
Valeur ajoutée hors taxes (en millions d'euros),1061.154,1165.644
Excédent Brut d'Exploitation (en millions d'euros),106.147,151.592
Frais de personnel (en millions d'euros),924.263,992.717
Investissements corporels bruts hors apports (en millions d'euros),17.298,30.254
Entreprises,1879.163,2027.705
     dont Voyagistes et Agences de voyages (hors opérateurs en ligne) ,N,N
     dont Opérateurs en ligne,N,N
     dont Autres entreprises,N,N
Administrations,98.682,171.17
Particuliers,32.321,14.511
Clientèle nationale,1374.439,1471.052
Clientèle étrangère,635.727,742.335
     dont Union européenne,312.591,377.183
     dont Hors Union européenne,323.135,365.151
Sous-traitance : études et prestations de services incorporées à la production,29.1,11.7
"Sous-traitance : matériel, équipements et travaux incorporés à la production",2.4,1.2
NR,N,N
NR,N,N
NR,N,N
NR,N,N
NR,N,N
Total de toutes les dépenses professionnelles,N,N
SO= Sans objet ; NR = Non renseigné.,,
7320Z - Études de marché et sondages,1689.086,1855.747
"7490B - Activités spécialisées, scientifiques et techniques diverses",110.573,124.69
