Header,2018,2019
Nombre total d'entreprises,200957,212406
Chiffre d'affaires hors taxes (en millions d'euros),34080.188,40833.564
Effectifs équivalent temps plein (ETP) sur l'exercice comptable,133236.6,156944.3
Valeur ajoutée hors taxes (en millions d'euros),17934.987,21526.427
Excédent Brut d'Exploitation (en millions d'euros),4073.74,5907.279
Frais de personnel (en millions d'euros),13497.971,15474.949
Investissements corporels bruts hors apports (en millions d'euros),1386.966,1792.549
Entreprises,30253.023,33304.442
     dont Voyagistes et Agences de voyages (hors opérateurs en ligne) ,N,N
     dont Opérateurs en ligne,N,N
     dont Autres entreprises,N,N
Administrations,2040.808,2431.315
Particuliers,1786.358,5097.807
Clientèle nationale,27420.982,32981.366
Clientèle étrangère,6659.206,7852.198
     dont Union européenne,3603.541,3955.104
     dont Hors Union européenne,3055.666,3897.093
Sous-traitance : études et prestations de services incorporées à la production,8.4,8
"Sous-traitance : matériel, équipements et travaux incorporés à la production",2.2,2.5
NR,N,N
NR,N,N
NR,N,N
NR,N,N
NR,N,N
Total de toutes les dépenses professionnelles,N,N
SO= Sans objet ; NR = Non renseigné.,,
7022Z - Conseil pour les affaires et autres conseils de gestion,26881.386,32623.651
7021Z - Conseil en relations publiques et communication,2478.696,3124.835
