Header,2018,2019
Nombre total d'entreprises,15860,15679
Chiffre d'affaires hors taxes (en millions d'euros),538.04,635.821
Effectifs équivalent temps plein (ETP) sur l'exercice comptable,2075.5,2305
Valeur ajoutée hors taxes (en millions d'euros),311.583,359.421
Excédent Brut d'Exploitation (en millions d'euros),136.023,165.43
Frais de personnel (en millions d'euros),165.555,184.442
Investissements corporels bruts hors apports (en millions d'euros),63.945,131.972
Entreprises,474.841,557.941
     dont Voyagistes et Agences de voyages (hors opérateurs en ligne) ,N,N
     dont Opérateurs en ligne,N,N
     dont Autres entreprises,N,N
Administrations,41.098,55.311
Particuliers,22.102,22.568
Clientèle nationale,373.721,456.319
Clientèle étrangère,164.319,179.502
     dont Union européenne,95.47,75.748
     dont Hors Union européenne,68.849,103.754
Sous-traitance : études et prestations de services incorporées à la production,3.3,5.5
"Sous-traitance : matériel, équipements et travaux incorporés à la production",0.1,2.3
NR,N,N
NR,N,N
NR,N,N
NR,N,N
NR,N,N
Total de toutes les dépenses professionnelles,N,N
SO= Sans objet ; NR = Non renseigné.,,
7430Z - Traduction et interprétation,520.929,608.014
