Header,2018,2019
Nombre total d'entreprises,5056,4645
Chiffre d'affaires hors taxes (en millions d'euros),1093.689,1300.147
Effectifs équivalent temps plein (ETP) sur l'exercice comptable,9358.5,8995.1
Valeur ajoutée hors taxes (en millions d'euros),285.75,212.102
Excédent Brut d'Exploitation (en millions d'euros),26.336,75.025
Frais de personnel (en millions d'euros),417.442,358.648
Investissements corporels bruts hors apports (en millions d'euros),39.551,66.521
Entreprises,546.445,330.25
     dont Voyagistes et Agences de voyages (hors opérateurs en ligne) ,N,N
     dont Opérateurs en ligne,N,N
     dont Autres entreprises,N,N
Administrations,131.171,177.587
Particuliers,416.072,792.31
Clientèle nationale,923.08,1111.005
Clientèle étrangère,170.609,189.142
     dont Union européenne,61.468,135.065
     dont Hors Union européenne,109.141,54.077
Sous-traitance : études et prestations de services incorporées à la production,3,6.9
"Sous-traitance : matériel, équipements et travaux incorporés à la production",3,3
"Achats ou reversements de transports, hébergements, restauration, spectacles destinés à être revendus en l'état",158.59,318.53
Commissions reversées à des confrères pour vente de voyages organisés,2.009,3.777
"Achats ou reversements de   transports, hébergements, restauration, spectacles destinés à être incorporés dans la fabrication de voyages vendus ""clé en main"";",3.399,2.103
"Achats de matériel et installations compris dans vos facturations ""clés en main""",0.51,0.106
Commissions reversées à des opérateurs en ligne,0,0
Total de toutes les dépenses professionnelles,164.516,324.517
SO= Sans objet ; NR = Non renseigné.,,
7990Z - Autres services de réservation et activités connexes,942.377,1210.85
7022Z - Conseil pour les affaires et autres conseils de gestion,60.224,N
