Header,2018,2019
Nombre total d'entreprises,2021,2010
Chiffre d'affaires hors taxes (en millions d'euros),2776.341,S
Effectifs équivalent temps plein (ETP) sur l'exercice comptable,S,S
Valeur ajoutée hors taxes (en millions d'euros),769.162,S
Excédent Brut d'Exploitation (en millions d'euros),241.401,S
Frais de personnel (en millions d'euros),503.602,S
Investissements corporels bruts hors apports (en millions d'euros),S,S
Entreprises,1922.881,S
     dont Voyagistes et Agences de voyages (hors opérateurs en ligne) ,N,S
     dont Opérateurs en ligne,N,S
     dont Autres entreprises,N,S
Administrations,201.957,S
Particuliers,651.503,S
Clientèle nationale,2234.984,S
Clientèle étrangère,541.357,S
     dont Union européenne,393.838,S
     dont Hors Union européenne,147.519,S
Sous-traitance : études et prestations de services incorporées à la production,11.8,14.2
"Sous-traitance : matériel, équipements et travaux incorporés à la production",0.2,5.6
Reversements aux éditeurs par les serveurs d'informations (notamment reversements aux bases de données),109.314,S
Reversements aux opérateurs de télécommunications,26.616,S
"Achats de matériel et installations compris dans vos facturations ""clés en main""",3.545,S
Achats ou dépenses de crédit-bail (leasing) pour compte de tiers,0.845,S
SO,N,S
Total de toutes les dépenses professionnelles,140.321,S
SO= Sans objet ; NR = Non renseigné.,,
4742Z - Cce de détail de matériels de télécommunication en magasin spécialisé,202.728,S
6120Z - Télécommunications sans fil,139.04,S
6190Z - Autres activités de télécommunication,2098.492,S
