Header,2018,2019
Nombre total d'entreprises,12008,12443
Chiffre d'affaires hors taxes (en millions d'euros),9710.929,10060.975
Effectifs équivalent temps plein (ETP) sur l'exercice comptable,102529.6,110718.6
Valeur ajoutée hors taxes (en millions d'euros),4316.072,4571.421
Excédent Brut d'Exploitation (en millions d'euros),-125.155,200.839
Frais de personnel (en millions d'euros),4336.031,4506.32
Investissements corporels bruts hors apports (en millions d'euros),321.776,293.949
Entreprises,5126.32,5156.601
     dont Voyagistes et Agences de voyages (hors opérateurs en ligne) ,N,N
     dont Opérateurs en ligne,N,N
     dont Autres entreprises,N,N
Administrations,2633.339,2830.602
Particuliers,1951.269,2073.772
Clientèle nationale,9275.741,9477.33
Clientèle étrangère,435.187,583.646
     dont Union européenne,158.005,469.643
     dont Hors Union européenne,277.182,114.002
Sous-traitance : études et prestations de services incorporées à la production,1.3,2.7
"Sous-traitance : matériel, équipements et travaux incorporés à la production",0.4,0.7
Achats de produits alimentaires (y compris boissons et plats cuisinés),1746.963,1656.999
"Achats de matériel et installations compris dans vos facturations ""clés en main""",0,29.628
SO,N,N
SO,N,N
SO,N,N
Total de toutes les dépenses professionnelles,1746.963,1686.627
SO= Sans objet ; NR = Non renseigné.,,
5629A - Restauration collective sous contrat,3941.223,3957.843
5629B - Autres services de restauration n.c.a.,1913.418,2078.644
5621Z - Services des traiteurs,1370.298,1649.847
