Header,2018,2019
Nombre total d'entreprises,1909,1739
Chiffre d'affaires hors taxes (en millions d'euros),654.232,635.43
Effectifs équivalent temps plein (ETP) sur l'exercice comptable,2886.6,2572.2
Valeur ajoutée hors taxes (en millions d'euros),375.548,355.422
Excédent Brut d'Exploitation (en millions d'euros),38.976,45.916
Frais de personnel (en millions d'euros),334.901,307.223
Investissements corporels bruts hors apports (en millions d'euros),13.548,13.252
Entreprises,437.085,417.88
     dont Voyagistes et Agences de voyages (hors opérateurs en ligne) ,N,N
     dont Opérateurs en ligne,N,N
     dont Autres entreprises,N,N
Administrations,172.65,175.375
Particuliers,44.497,42.175
Clientèle nationale,502.067,496.614
Clientèle étrangère,152.165,138.816
     dont Union européenne,68.12,63.063
     dont Hors Union européenne,84.045,75.752
Sous-traitance : études et prestations de services incorporées à la production,5.9,10.6
"Sous-traitance : matériel, équipements et travaux incorporés à la production",0.9,2.2
Honoraires versés aux pigistes extérieurs,8.458,7.991
Achats de matériels et de prestations de services techniques - Achats ou locations d'accessoires,0,0.061
Versements des droits d'auteur et des droits voisins,0,0.013
"Achats de consommables, dont consommables photographiques, et de petits matériels électriques",0.003,0.008
"Autres dépenses, versements aux sociétés collectives de gestion de droits",0,0.005
Total de toutes les dépenses professionnelles,8.46,8.077
SO= Sans objet ; NR = Non renseigné.,,
6391Z - Activités des agences de presse,524.687,518.408
6399Z - Autres services d'information n.c.a.,53.45,52.496
