Header,2018,2019
Nombre total d'entreprises,64043,74462
Chiffre d'affaires hors taxes (en millions d'euros),16786.31,18503.719
Effectifs équivalent temps plein (ETP) sur l'exercice comptable,313456.9,347452.1
Valeur ajoutée hors taxes (en millions d'euros),12164.118,13441.468
Excédent Brut d'Exploitation (en millions d'euros),1255.424,1485.671
Frais de personnel (en millions d'euros),10535.367,11631.007
Investissements corporels bruts hors apports (en millions d'euros),572.643,716.674
Entreprises,11514.329,13182.205
     dont Voyagistes et Agences de voyages (hors opérateurs en ligne) ,N,N
     dont Opérateurs en ligne,N,N
     dont Autres entreprises,N,N
Administrations,2856.431,2286.782
Particuliers,2415.551,3034.733
Clientèle nationale,16613.772,18254.611
Clientèle étrangère,172.539,249.108
     dont Union européenne,113.249,158.138
     dont Hors Union européenne,59.29,90.97
Sous-traitance : études et prestations de services incorporées à la production,4.3,4.4
"Sous-traitance : matériel, équipements et travaux incorporés à la production",1.4,3.6
NR,N,N
NR,N,N
NR,N,N
NR,N,N
NR,N,N
Total de toutes les dépenses professionnelles,N,N
SO= Sans objet ; NR = Non renseigné.,,
8121Z - Nettoyage courant des bâtiments,9440.784,10494.681
8122Z - Autres activités de nettoyage des bâtiments et nettoyage industriel,2989.056,3132.361
8129B - Autres activités de nettoyage n.c.a.,N,944.466
