Header,2018,2019
Nombre total d'entreprises,26839,28668
Chiffre d'affaires hors taxes (en millions d'euros),1737.01,1692.579
Effectifs équivalent temps plein (ETP) sur l'exercice comptable,9850,10221.9
Valeur ajoutée hors taxes (en millions d'euros),646.879,667.901
Excédent Brut d'Exploitation (en millions d'euros),156.737,190.64
Frais de personnel (en millions d'euros),498.248,485.426
Investissements corporels bruts hors apports (en millions d'euros),121.932,134.959
Entreprises,637.581,482.64
     dont Voyagistes et Agences de voyages (hors opérateurs en ligne) ,N,N
     dont Opérateurs en ligne,N,N
     dont Autres entreprises,N,N
Administrations,45.625,88.157
Particuliers,1053.803,1121.783
Clientèle nationale,1562.445,1530.097
Clientèle étrangère,174.565,162.483
     dont Union européenne,56.815,104.007
     dont Hors Union européenne,117.75,58.475
Sous-traitance : études et prestations de services incorporées à la production,4.9,4.9
"Sous-traitance : matériel, équipements et travaux incorporés à la production",0.7,2.2
NR,N,N
NR,N,N
NR,N,N
NR,N,N
NR,N,N
Total de toutes les dépenses professionnelles,N,N
SO= Sans objet ; NR = Non renseigné.,,
9529Z - Réparation d'autres biens personnels et domestiques,370.643,396.258
9522Z - Réparation d'appareils électrom. et d'équip. maison et jardin,236.571,242.473
4754Z - Commerce de détail d'appareils électroménagers en magasin spécialisé,125.775,188.686
9524Z - Réparation de meubles et d'équipements du foyer,130.513,151.659
9523Z - Réparation de chaussures et d'articles en cuir,N,125.972
9521Z - Réparation de produits électroniques grand public,197.36,N
