Header,2018,2019
Nombre total d'entreprises,21173,21690
Chiffre d'affaires hors taxes (en millions d'euros),20685.585,22022.12
Effectifs équivalent temps plein (ETP) sur l'exercice comptable,157665,166196.1
Valeur ajoutée hors taxes (en millions d'euros),13425.167,14287.219
Excédent Brut d'Exploitation (en millions d'euros),2137.641,2434.888
Frais de personnel (en millions d'euros),10890.617,11503.122
Investissements corporels bruts hors apports (en millions d'euros),335.492,394.733
Entreprises,19820.654,21199.355
     dont Voyagistes et Agences de voyages (hors opérateurs en ligne) ,N,N
     dont Opérateurs en ligne,N,N
     dont Autres entreprises,N,N
Administrations,217.38,248.006
Particuliers,647.551,574.758
Clientèle nationale,19813.524,20827.629
Clientèle étrangère,872.062,1194.491
     dont Union européenne,424.928,489.726
     dont Hors Union européenne,447.134,704.764
Sous-traitance : études et prestations de services incorporées à la production,26.4,22
"Sous-traitance : matériel, équipements et travaux incorporés à la production",9,0.2
NR,N,N
NR,N,N
NR,N,N
NR,N,N
NR,N,N
Total de toutes les dépenses professionnelles,N,N
SO= Sans objet ; NR = Non renseigné.,,
6920Z - Activités comptables,18429.16,19541.493
7022Z - Conseil pour les affaires et autres conseils de gestion,1055.752,1204.739
