Header,2018,2019
Nombre total d'entreprises,88129,89999
Chiffre d'affaires hors taxes (en millions d'euros),4280.196,4842.953
Effectifs équivalent temps plein (ETP) sur l'exercice comptable,19267.5,22582.6
Valeur ajoutée hors taxes (en millions d'euros),1713.323,1975.892
Excédent Brut d'Exploitation (en millions d'euros),875.728,1364.221
Frais de personnel (en millions d'euros),1269.671,1410.008
Investissements corporels bruts hors apports (en millions d'euros),440.545,493.313
Entreprises,N,N
     dont Voyagistes et Agences de voyages (hors opérateurs en ligne) ,N,N
     dont Opérateurs en ligne,N,N
     dont Autres entreprises,N,N
Administrations,N,N
Particuliers,N,N
Clientèle nationale,N,N
Clientèle étrangère,N,N
     dont Union européenne,N,N
     dont Hors Union européenne,N,N
Sous-traitance : études et prestations de services incorporées à la production,1.5,1.5
"Sous-traitance : matériel, équipements et travaux incorporés à la production",0.9,0.7
"Achats de prestations de services techniques (décors, scénographie, animation, etc.)",86.598,95.967
"Charges de locations de salles ou matériel (lieux de répétition, d'accueils de spectacles, son, éclairage)",41.509,50.451
"Sous-traitance générale (contrats de maintenance, comptabilité, sécurité, etc)",23.191,22.951
"Achats de matériels techniques (équipement lié à l'artistique, instruments, etc.)",16.342,21.883
Voyages,7.734,10.945
Total de toutes les dépenses professionnelles,267.637,256.286
SO= Sans objet ; NR = Non renseigné.,,
9002Z - Activités de soutien au spectacle vivant,1182.666,1520.208
9003A - Création artistique relevant des arts plastiques,844.286,1014.45
9001Z - Arts du spectacle vivant,960.095,992.306
9003B - Autre création artistique,618.412,698.068
