Header,2018,2019
Nombre total d'entreprises,1539,1704
Chiffre d'affaires hors taxes (en millions d'euros),2282.858,2556.385
Effectifs équivalent temps plein (ETP) sur l'exercice comptable,6531.5,6956.1
Valeur ajoutée hors taxes (en millions d'euros),347.953,639.549
Excédent Brut d'Exploitation (en millions d'euros),-157.24,50.25
Frais de personnel (en millions d'euros),476.914,564.506
Investissements corporels bruts hors apports (en millions d'euros),163.443,65.696
Entreprises,2199.264,2462.335
     dont Voyagistes et Agences de voyages (hors opérateurs en ligne) ,N,N
     dont Opérateurs en ligne,N,N
     dont Autres entreprises,N,N
Administrations,23.565,20.075
Particuliers,60.029,73.975
Clientèle nationale,2067.159,2256.468
Clientèle étrangère,215.699,299.917
     dont Union européenne,142.104,204.68
     dont Hors Union européenne,73.595,95.237
Sous-traitance : études et prestations de services incorporées à la production,3.7,6.6
"Sous-traitance : matériel, équipements et travaux incorporés à la production",2,1.5
NR,N,N
NR,N,N
NR,N,N
NR,N,N
NR,N,N
Total de toutes les dépenses professionnelles,N,N
SO= Sans objet ; NR = Non renseigné.,,
"7740Z - Location-bail de propriété intellectuelle et de produits similaires, à l'exception des œuvres soumises à copyright yc. location de licence de taxi",1626.426,1802.377
4778A - Commerces de détail d'optique,167.842,176.647
4759A - Commerce de détail de meubles,N,157.604
4643Z - Cce de gros (commerce interentreprises) d'appareils électroménagers,N,130.772
