Header,2018,2019
Nombre total d'entreprises,69330,83656
Chiffre d'affaires hors taxes (en millions d'euros),16314.844,19610.158
Effectifs équivalent temps plein (ETP) sur l'exercice comptable,86996.2,104458
Valeur ajoutée hors taxes (en millions d'euros),8497.413,10045.935
Excédent Brut d'Exploitation (en millions d'euros),2261.668,2838.901
Frais de personnel (en millions d'euros),5970.203,6944.232
Investissements corporels bruts hors apports (en millions d'euros),1747.239,2541.596
Entreprises,4129.874,4346.286
     dont Voyagistes et Agences de voyages (hors opérateurs en ligne) ,N,N
     dont Opérateurs en ligne,N,N
     dont Autres entreprises,N,N
Administrations,73.586,87.515
Particuliers,12111.384,15176.358
Clientèle nationale,14859.217,18601.003
Clientèle étrangère,1455.626,1009.156
     dont Union européenne,1065.665,636.816
     dont Hors Union européenne,389.961,372.339
Sous-traitance : études et prestations de services incorporées à la production,3.7,4.3
"Sous-traitance : matériel, équipements et travaux incorporés à la production",0.4,1.2
NR,N,N
NR,N,N
NR,N,N
NR,N,N
NR,N,N
Total de toutes les dépenses professionnelles,N,N
SO= Sans objet ; NR = Non renseigné.,,
6831Z - Agences immobilières,10697.525,13166.125
6832A - Administration d'immeubles et autres biens immobiliers,4303.206,4666.351
