Header,2018,2019
Nombre total d'entreprises,31460,32114
Chiffre d'affaires hors taxes (en millions d'euros),6174.325,7256.802
Effectifs équivalent temps plein (ETP) sur l'exercice comptable,22695.6,27646.8
Valeur ajoutée hors taxes (en millions d'euros),2315.225,2690.563
Excédent Brut d'Exploitation (en millions d'euros),515.458,605.509
Frais de personnel (en millions d'euros),1791.294,2086.073
Investissements corporels bruts hors apports (en millions d'euros),285.725,500.854
Entreprises,4908.694,5616.379
     dont Voyagistes et Agences de voyages (hors opérateurs en ligne) ,N,N
     dont Opérateurs en ligne,N,N
     dont Autres entreprises,N,N
Administrations,766.728,921.601
Particuliers,498.903,718.822
Clientèle nationale,4656.058,5454.099
Clientèle étrangère,1518.267,1802.703
     dont Union européenne,542.573,511.72
     dont Hors Union européenne,975.694,1290.983
Sous-traitance : études et prestations de services incorporées à la production,10.6,8.1
"Sous-traitance : matériel, équipements et travaux incorporés à la production",3.7,4.1
"Achats de terrains, bâtiments, travaux de construction pour la revente",25.558,26.317
"Sous-traitance générale (contrats de maintenance, comptabilité, sécurité, etc)",0.45,0.673
Voyages,0.009,0.013
Dépenses de publicité,0.009,0.013
SO,N,N
Total de toutes les dépenses professionnelles,26.026,27.016
SO= Sans objet ; NR = Non renseigné.,,
"7490B - Activités spécialisées, scientifiques et techniques diverses",4067.65,4989.228
7490A - Activité des économistes de la construction,955.384,1109.727
4778C - Autres commerces de détail spécialisés divers,453.92,N
