Header,2018,2019
Nombre total d'entreprises,8304,8607
Chiffre d'affaires hors taxes (en millions d'euros),3922.585,4076.883
Effectifs équivalent temps plein (ETP) sur l'exercice comptable,15693.9,17030.9
Valeur ajoutée hors taxes (en millions d'euros),1205.05,1290.741
Excédent Brut d'Exploitation (en millions d'euros),217.573,256.254
Frais de personnel (en millions d'euros),943.048,998.773
Investissements corporels bruts hors apports (en millions d'euros),120.382,106.423
Entreprises,3139.063,3218.78
     dont Voyagistes et Agences de voyages (hors opérateurs en ligne) ,N,N
     dont Opérateurs en ligne,N,N
     dont Autres entreprises,N,N
Administrations,548.777,558.849
Particuliers,234.745,299.254
Clientèle nationale,3761.206,3901.738
Clientèle étrangère,161.379,175.145
     dont Union européenne,89.562,107.979
     dont Hors Union européenne,71.817,67.166
Sous-traitance : études et prestations de services incorporées à la production,8.8,4.8
"Sous-traitance : matériel, équipements et travaux incorporés à la production",1.2,0.2
NR,N,N
NR,N,N
NR,N,N
NR,N,N
NR,N,N
Total de toutes les dépenses professionnelles,N,N
SO= Sans objet ; NR = Non renseigné.,,
9511Z - Réparation d'ordinateurs et d'équipements périphériques,1386.352,1482.255
"4651Z - Cce de gros (interentrep.) d'ordi., équip. inform. périph.. et logic.",690.73,787.105
4666Z - Cce de gros (interentreprises) d'autres machines et équip. de bureau,578.156,383.811
9512Z - Réparation d'équipements de communication,341.825,375.785
