Header,2018,2019
Nombre total d'entreprises,165112,171356
Chiffre d'affaires hors taxes (en millions d'euros),41227.551,45928.304
Effectifs équivalent temps plein (ETP) sur l'exercice comptable,380645.6,446706.3
Valeur ajoutée hors taxes (en millions d'euros),15169.027,16474.352
Excédent Brut d'Exploitation (en millions d'euros),2411.068,5996.922
Frais de personnel (en millions d'euros),14480.774,16209.198
Investissements corporels bruts hors apports (en millions d'euros),3175.691,3877.938
Entreprises,6429.912,5629.573
     dont Voyagistes et Agences de voyages (hors opérateurs en ligne) ,N,N
     dont Opérateurs en ligne,N,N
     dont Autres entreprises,N,N
Administrations,743.76,659.91
Particuliers,34053.879,39638.821
Clientèle nationale,37075.729,41516.324
Clientèle étrangère,4151.822,4411.98
     dont Union européenne,2695.598,3074.056
     dont Hors Union européenne,1456.225,1337.924
Sous-traitance : études et prestations de services incorporées à la production,1.4,1.5
"Sous-traitance : matériel, équipements et travaux incorporés à la production",1.2,1.3
Achats de produits alimentaires (y compris boissons et plats cuisinés),2791.972,2864.899
"Sous-traitance générale (contrats de maintenance, comptabilité, sécurité, etc)",3.662,5.623
Commissions reversées à des opérateurs en ligne,1.871,2.926
Commissions reversées à des agences de voyages (hors opérateurs en ligne),0.892,0.273
Location de halls d'exposition,0.082,0.147
Total de toutes les dépenses professionnelles,2806.762,2874.194
SO= Sans objet ; NR = Non renseigné.,,
5610A - Restauration traditionnelle,14830.488,15431.757
5610C - Restauration de type rapide,11761.896,14312.422
4711B - Commerce d'alimentation générale,4713.548,4845.261
