Header,2018,2019
Nombre total d'entreprises,27596,30609
Chiffre d'affaires hors taxes (en millions d'euros),17626.83,18985.958
Effectifs équivalent temps plein (ETP) sur l'exercice comptable,44574,48924.7
Valeur ajoutée hors taxes (en millions d'euros),5378.059,6333.525
Excédent Brut d'Exploitation (en millions d'euros),2489.235,3252.147
Frais de personnel (en millions d'euros),2719.305,2952.774
Investissements corporels bruts hors apports (en millions d'euros),3016.147,4081.136
Entreprises,16088.339,17146.3
     dont Voyagistes et Agences de voyages (hors opérateurs en ligne) ,N,N
     dont Opérateurs en ligne,N,N
     dont Autres entreprises,N,N
Administrations,1195.631,1305.632
Particuliers,342.86,534.026
Clientèle nationale,14488.016,15597.275
Clientèle étrangère,3138.813,3388.683
     dont Union européenne,649.14,1209.693
     dont Hors Union européenne,2489.674,2178.991
Sous-traitance : études et prestations de services incorporées à la production,3.1,3.3
"Sous-traitance : matériel, équipements et travaux incorporés à la production",1.1,0.2
NR,N,N
NR,N,N
NR,N,N
NR,N,N
NR,N,N
Total de toutes les dépenses professionnelles,N,N
SO= Sans objet ; NR = Non renseigné.,,
"7739Z - Loc. et loc.-bail d'autres machines, équip. et biens matériels n.c.a.",4433.967,5655.778
7732Z - Location et location-bail de machines et équip. pour la construction (sans opérateur),2809.236,3238.51
7733Z - Location et location-bail de mach. de bureau et de matériel informat.,2498.892,2440.508
7735Z - Location et location-bail de matériels de transport aérien,1887.146,1503.824
4669B - Cce de gros (interentreprises) de fournitures et équip. ind. divers,N,1031.432
"4651Z - Cce de gros (interentrep.) d'ordi., équip. inform. périph.. et logic.",953.908,N
