Header,2018,2019
Nombre total d'entreprises,30588,34787
Chiffre d'affaires hors taxes (en millions d'euros),4315.68,5221.696
Effectifs équivalent temps plein (ETP) sur l'exercice comptable,34480.2,34735.3
Valeur ajoutée hors taxes (en millions d'euros),2410.165,2706.934
Excédent Brut d'Exploitation (en millions d'euros),384.075,529.578
Frais de personnel (en millions d'euros),1882.615,2057.3
Investissements corporels bruts hors apports (en millions d'euros),607.56,432.107
Entreprises,4006.045,4859.254
     dont Voyagistes et Agences de voyages (hors opérateurs en ligne) ,N,N
     dont Opérateurs en ligne,N,N
     dont Autres entreprises,N,N
Administrations,95.43,145.423
Particuliers,214.205,217.02
Clientèle nationale,4101.268,4863.184
Clientèle étrangère,214.412,358.512
     dont Union européenne,113.9,200.863
     dont Hors Union européenne,100.512,157.649
Sous-traitance : études et prestations de services incorporées à la production,5,2.6
"Sous-traitance : matériel, équipements et travaux incorporés à la production",3.6,0.4
NR,N,N
NR,N,N
NR,N,N
NR,N,N
NR,N,N
Total de toutes les dépenses professionnelles,N,N
SO= Sans objet ; NR = Non renseigné.,,
8211Z - Services administratifs combinés de bureau,1970.821,2532.532
8219Z - Photoc./préparation de doc. et autres activ. de soutien de bureau,1212.854,1269.834
7010Z - Activités des sièges sociaux,246.766,779.118
