Header,2018,2019
Nombre total d'entreprises,2022,2225
Chiffre d'affaires hors taxes (en millions d'euros),1997.199,2446.016
Effectifs équivalent temps plein (ETP) sur l'exercice comptable,14065.9,16189.7
Valeur ajoutée hors taxes (en millions d'euros),979.598,1151.416
Excédent Brut d'Exploitation (en millions d'euros),191.278,242.648
Frais de personnel (en millions d'euros),757.408,885.324
Investissements corporels bruts hors apports (en millions d'euros),118.429,167.207
Entreprises,1330.791,1464.69
     dont Voyagistes et Agences de voyages (hors opérateurs en ligne) ,N,N
     dont Opérateurs en ligne,N,N
     dont Autres entreprises,N,N
Administrations,182.035,307.663
Particuliers,484.373,673.663
Clientèle nationale,1899.212,2376.554
Clientèle étrangère,97.988,69.462
     dont Union européenne,77.838,50.122
     dont Hors Union européenne,20.15,19.341
Sous-traitance : études et prestations de services incorporées à la production,25.1,28
"Sous-traitance : matériel, équipements et travaux incorporés à la production",13.2,12.4
NR,N,N
NR,N,N
NR,N,N
NR,N,N
NR,N,N
Total de toutes les dépenses professionnelles,N,N
SO= Sans objet ; NR = Non renseigné.,,
8020Z - Activités liées aux systèmes de sécurité,1270.014,1535.41
4669C - Cce de gros (interentrep.) de fournit./équip. div. pour cce et serv.,328.503,398.979
