Header,2018,2019
Nombre total d'entreprises,231,231
Chiffre d'affaires hors taxes (en millions d'euros),21274.756,21648.899
Effectifs équivalent temps plein (ETP) sur l'exercice comptable,30978.8,32354.3
Valeur ajoutée hors taxes (en millions d'euros),9123.798,8837.242
Excédent Brut d'Exploitation (en millions d'euros),6313.521,5918.61
Frais de personnel (en millions d'euros),2251.15,2398.212
Investissements corporels bruts hors apports (en millions d'euros),3080.251,3335.539
Entreprises,7719.237,7627.531
     dont Voyagistes et Agences de voyages (hors opérateurs en ligne) ,N,N
     dont Opérateurs en ligne,N,N
     dont Autres entreprises,N,N
Administrations,136.881,303.411
Particuliers,13418.639,13717.958
Clientèle nationale,20721.146,21141.402
Clientèle étrangère,553.611,507.497
     dont Union européenne,508.343,419.51
     dont Hors Union européenne,45.268,87.987
Sous-traitance : études et prestations de services incorporées à la production,22.2,74.6
"Sous-traitance : matériel, équipements et travaux incorporés à la production",3.5,23.6
"Dépenses liées à la diffusion, Redevance payée aux chaînes pour leur diffusion par câble et satellite",0.187,28.678
Reversements aux éditeurs par les serveurs d'informations (notamment reversements aux bases de données),0.026,21.709
Reversements aux opérateurs de télécommunications,56.515,18.691
"Dépenses liées à la diffusion - Dépenses de transmission (faisceaux hertziens, canaux satellite, transmissions par câble)",20.359,7.267
"Achats de matériel et installations compris dans vos facturations ""clés en main""",6.829,3.732
Total de toutes les dépenses professionnelles,87.015,83.03
SO= Sans objet ; NR = Non renseigné.,,
6120Z - Télécommunications sans fil,10305.821,10454.374
6110Z - Télécommunications filaires,6728.637,6765.658
4742Z - Cce de détail de matériels de télécommunication en magasin spécialisé,1210.424,1210.629
