Header,2018,2019
Nombre total d'entreprises,38300,42816
Chiffre d'affaires hors taxes (en millions d'euros),2278.122,2903.018
Effectifs équivalent temps plein (ETP) sur l'exercice comptable,7491.3,9165.6
Valeur ajoutée hors taxes (en millions d'euros),933.445,1182.413
Excédent Brut d'Exploitation (en millions d'euros),285.545,470.809
Frais de personnel (en millions d'euros),645.309,734.105
Investissements corporels bruts hors apports (en millions d'euros),185.453,218.701
Entreprises,1775.308,2092.778
     dont Voyagistes et Agences de voyages (hors opérateurs en ligne) ,N,N
     dont Opérateurs en ligne,N,N
     dont Autres entreprises,N,N
Administrations,74.798,319.741
Particuliers,428.017,490.499
Clientèle nationale,1636.594,2106.371
Clientèle étrangère,641.528,796.647
     dont Union européenne,237.995,395.326
     dont Hors Union européenne,403.533,401.321
Sous-traitance : études et prestations de services incorporées à la production,6.4,7.7
"Sous-traitance : matériel, équipements et travaux incorporés à la production",4.4,4.7
NR,N,N
NR,N,N
NR,N,N
NR,N,N
NR,N,N
Total de toutes les dépenses professionnelles,N,N
SO= Sans objet ; NR = Non renseigné.,,
7410Z - Activités spécialisées de design,1949.889,2489.186
4778C - Autres commerces de détail spécialisés divers,188.768,263.127
