Header,2018,2019
Nombre total d'entreprises,5616,5638
Chiffre d'affaires hors taxes (en millions d'euros),7355.601,7734.997
Effectifs équivalent temps plein (ETP) sur l'exercice comptable,136887,145684.4
Valeur ajoutée hors taxes (en millions d'euros),5225.913,5477.855
Excédent Brut d'Exploitation (en millions d'euros),173.685,203.236
Frais de personnel (en millions d'euros),4886.058,5159.329
Investissements corporels bruts hors apports (en millions d'euros),194.35,174.199
Entreprises,6160.498,6224.96
     dont Voyagistes et Agences de voyages (hors opérateurs en ligne) ,N,N
     dont Opérateurs en ligne,N,N
     dont Autres entreprises,N,N
Administrations,926.961,1242.929
Particuliers,268.143,267.108
Clientèle nationale,7249.348,7644.255
Clientèle étrangère,106.253,90.742
     dont Union européenne,73.006,36.339
     dont Hors Union européenne,33.247,54.403
Sous-traitance : études et prestations de services incorporées à la production,22.6,21.9
"Sous-traitance : matériel, équipements et travaux incorporés à la production",1.9,1.3
NR,N,N
NR,N,N
NR,N,N
NR,N,N
NR,N,N
Total de toutes les dépenses professionnelles,N,N
SO= Sans objet ; NR = Non renseigné.,,
8010Z - Activités de sécurité privée,6303.211,6652.259
