Header,2018,2019
Nombre total d'entreprises,1610,1788
Chiffre d'affaires hors taxes (en millions d'euros),28728.016,34704.727
Effectifs équivalent temps plein (ETP) sur l'exercice comptable,640659.7,775819.3
Valeur ajoutée hors taxes (en millions d'euros),25815.236,31197.461
Excédent Brut d'Exploitation (en millions d'euros),381.414,1093.794
Frais de personnel (en millions d'euros),24471.404,29167.664
Investissements corporels bruts hors apports (en millions d'euros),125.398,129.83
Entreprises,28192.974,33808.394
     dont Voyagistes et Agences de voyages (hors opérateurs en ligne) ,N,N
     dont Opérateurs en ligne,N,N
     dont Autres entreprises,N,N
Administrations,397.06,761.892
Particuliers,137.982,134.441
Clientèle nationale,28298.223,34121.938
Clientèle étrangère,429.793,582.789
     dont Union européenne,242.66,309.486
     dont Hors Union européenne,187.133,273.303
Sous-traitance : études et prestations de services incorporées à la production,10.1,5.2
"Sous-traitance : matériel, équipements et travaux incorporés à la production",2.6,1.5
NR,N,N
NR,N,N
NR,N,N
NR,N,N
NR,N,N
Total de toutes les dépenses professionnelles,N,N
SO= Sans objet ; NR = Non renseigné.,,
7820Z - Activités des agences de travail temporaire,26893.222,32686.496
