Header,2018,2019
Nombre total d'entreprises,25849,29656
Chiffre d'affaires hors taxes (en millions d'euros),9833.466,12935.539
Effectifs équivalent temps plein (ETP) sur l'exercice comptable,6446.5,8096.1
Valeur ajoutée hors taxes (en millions d'euros),2080.953,2493.264
Excédent Brut d'Exploitation (en millions d'euros),1383.707,1677.114
Frais de personnel (en millions d'euros),510.52,615.37
Investissements corporels bruts hors apports (en millions d'euros),1549.465,1533.242
Entreprises,4325.512,3457.273
     dont Voyagistes et Agences de voyages (hors opérateurs en ligne) ,N,N
     dont Opérateurs en ligne,N,N
     dont Autres entreprises,N,N
Administrations,27.245,398.792
Particuliers,5480.709,9079.474
Clientèle nationale,9194.319,11979.422
Clientèle étrangère,639.147,956.117
     dont Union européenne,476.233,225.864
     dont Hors Union européenne,162.914,730.253
Sous-traitance : études et prestations de services incorporées à la production,6.5,7.2
"Sous-traitance : matériel, équipements et travaux incorporés à la production",7.2,9
NR,N,N
NR,N,N
NR,N,N
NR,N,N
NR,N,N
Total de toutes les dépenses professionnelles,N,N
SO= Sans objet ; NR = Non renseigné.,,
6810Z - Activités des marchands de biens immobiliers,8551.81,11577.254
