Header,2018,2019
Nombre total d'entreprises,99,104
Chiffre d'affaires hors taxes (en millions d'euros),21380.836,25037.695
Effectifs équivalent temps plein (ETP) sur l'exercice comptable,48227,49826.3
Valeur ajoutée hors taxes (en millions d'euros),6703.805,6880.332
Excédent Brut d'Exploitation (en millions d'euros),2388.342,2279.719
Frais de personnel (en millions d'euros),3941.162,4243.408
Investissements corporels bruts hors apports (en millions d'euros),S,S
Entreprises,13877.704,15739.439
     dont Voyagistes et Agences de voyages (hors opérateurs en ligne) ,N,N
     dont Opérateurs en ligne,N,N
     dont Autres entreprises,N,N
Administrations,2671.6,2734.964
Particuliers,4831.532,6563.291
Clientèle nationale,17872.011,20868.427
Clientèle étrangère,3508.825,4169.268
     dont Union européenne,1153.78,1412.28
     dont Hors Union européenne,2355.045,2756.987
Sous-traitance : études et prestations de services incorporées à la production,100,7.7
"Sous-traitance : matériel, équipements et travaux incorporés à la production",12.1,5.8
Achats et préachats de droits sur programmes télévisuels de stock,741.03,1300.498
Achats et préachats de droits sur films cinématographiques,968.904,1033.271
"Dépenses liées à la diffusion, Redevance payée aux chaînes pour leur diffusion par câble et satellite",789.369,917.746
Achats de droits de retransmissions de manifestations sportives,545.693,485.158
Achats ou location d'espaces en vue de transactions (y compris placement de petites annonces),419.794,338.405
Total de toutes les dépenses professionnelles,5006.084,5615.888
SO= Sans objet ; NR = Non renseigné.,,
6020A - Édition de chaînes généralistes,7133.54,7491.415
6020B - Édition de chaînes thématiques,1840.216,3078.28
5229B - Affrètement et organisation des transports,1905.637,2247.982
4671Z - Cce de gros (interentreprises) de combustibles et de produits annexes,1207.601,1715.347
