Header,2018,2019
Nombre total d'entreprises,71864,73608
Chiffre d'affaires hors taxes (en millions d'euros),25267.695,28945.872
Effectifs équivalent temps plein (ETP) sur l'exercice comptable,93709.3,103559.7
Valeur ajoutée hors taxes (en millions d'euros),18140.912,20998.249
Excédent Brut d'Exploitation (en millions d'euros),7633.716,8992.48
Frais de personnel (en millions d'euros),9858.954,11272.902
Investissements corporels bruts hors apports (en millions d'euros),325.945,401.783
Entreprises,12941.281,14719.383
     dont Voyagistes et Agences de voyages (hors opérateurs en ligne) ,N,N
     dont Opérateurs en ligne,N,N
     dont Autres entreprises,N,N
Administrations,1188.872,1524.817
Particuliers,11137.542,12701.672
Clientèle nationale,22243.127,25973.498
Clientèle étrangère,3024.568,2972.374
     dont Union européenne,1604.464,1427.913
     dont Hors Union européenne,1420.103,1544.46
Sous-traitance : études et prestations de services incorporées à la production,6.6,7
"Sous-traitance : matériel, équipements et travaux incorporés à la production",0.6,0
NR,N,N
NR,N,N
NR,N,N
NR,N,N
NR,N,N
Total de toutes les dépenses professionnelles,N,N
SO= Sans objet ; NR = Non renseigné.,,
6910Z - Activités juridiques,24863.03,28452.163
