Header,2018,2019
Nombre total d'entreprises,23542,24661
Chiffre d'affaires hors taxes (en millions d'euros),15345.362,17308.36
Effectifs équivalent temps plein (ETP) sur l'exercice comptable,72814.3,79109.8
Valeur ajoutée hors taxes (en millions d'euros),5983.781,6437.9
Excédent Brut d'Exploitation (en millions d'euros),1068.517,1290.959
Frais de personnel (en millions d'euros),4726.328,5040.486
Investissements corporels bruts hors apports (en millions d'euros),1146.636,1112.553
Entreprises,13402.951,15445.668
     dont Voyagistes et Agences de voyages (hors opérateurs en ligne) ,N,N
     dont Opérateurs en ligne,N,N
     dont Autres entreprises,N,N
Administrations,661.967,635.432
Particuliers,1280.444,1227.26
Clientèle nationale,12669.218,13874.301
Clientèle étrangère,2676.144,3434.059
     dont Union européenne,1388.015,990.246
     dont Hors Union européenne,1288.129,2443.813
Sous-traitance : études et prestations de services incorporées à la production,10.4,6.8
"Sous-traitance : matériel, équipements et travaux incorporés à la production",2.4,2.7
NR,N,N
NR,N,N
NR,N,N
NR,N,N
NR,N,N
Total de toutes les dépenses professionnelles,N,N
SO= Sans objet ; NR = Non renseigné.,,
8299Z - Autres activités de soutien aux entreprises n.c.a.,10944.351,11898.138
4778C - Autres commerces de détail spécialisés divers,N,1049.008
8292Z - Activités de conditionnement,1059.35,1034.28
