Header,2018,2019
Nombre total d'entreprises,52,49
Chiffre d'affaires hors taxes (en millions d'euros),1222.863,S
Effectifs équivalent temps plein (ETP) sur l'exercice comptable,1217.7,1536.9
Valeur ajoutée hors taxes (en millions d'euros),881.21,S
Excédent Brut d'Exploitation (en millions d'euros),731.494,S
Frais de personnel (en millions d'euros),141.635,S
Investissements corporels bruts hors apports (en millions d'euros),S,S
Entreprises,1189.33,S
     dont Voyagistes et Agences de voyages (hors opérateurs en ligne) ,N,S
     dont Opérateurs en ligne,N,S
     dont Autres entreprises,N,S
Administrations,29.474,S
Particuliers,4.058,S
Clientèle nationale,202.186,S
Clientèle étrangère,1020.677,S
     dont Union européenne,397.821,S
     dont Hors Union européenne,622.856,S
Sous-traitance : études et prestations de services incorporées à la production,41.5,21.9
"Sous-traitance : matériel, équipements et travaux incorporés à la production",3.8,8.2
Reversements aux opérateurs de télécommunications,49.18,S
"Dépenses liées à la diffusion, Redevance payée aux chaînes pour leur diffusion par câble et satellite",0.994,S
Reversements aux éditeurs par les serveurs d'informations (notamment reversements aux bases de données),0.405,S
Achats ou dépenses de crédit-bail (leasing) pour compte de tiers,0.004,S
SO,N,S
Total de toutes les dépenses professionnelles,50.583,S
SO= Sans objet ; NR = Non renseigné.,,
6130Z - Télécommunications par satellite,1166.395,S
