Header,2018,2019
Nombre total d'entreprises,146520,150016
Chiffre d'affaires hors taxes (en millions d'euros),57969.701,58864.841
Effectifs équivalent temps plein (ETP) sur l'exercice comptable,155972.8,155455.8
Valeur ajoutée hors taxes (en millions d'euros),34269.894,33809.845
Excédent Brut d'Exploitation (en millions d'euros),20045.023,20073.195
Frais de personnel (en millions d'euros),9248.377,9149.841
Investissements corporels bruts hors apports (en millions d'euros),33618.747,39150.954
Entreprises,19471.948,19238.505
     dont Voyagistes et Agences de voyages (hors opérateurs en ligne) ,N,N
     dont Opérateurs en ligne,N,N
     dont Autres entreprises,N,N
Administrations,1492.357,1548.433
Particuliers,37005.396,38077.903
Clientèle nationale,55649.648,57870.757
Clientèle étrangère,2320.053,994.084
     dont Union européenne,1233.063,668.779
     dont Hors Union européenne,1086.99,325.306
Sous-traitance : études et prestations de services incorporées à la production,1.3,1.9
"Sous-traitance : matériel, équipements et travaux incorporés à la production",0.4,1.4
NR,N,N
NR,N,N
NR,N,N
NR,N,N
NR,N,N
Total de toutes les dépenses professionnelles,N,N
SO= Sans objet ; NR = Non renseigné.,,
6820A - Location de logements,28325.953,28781.018
6820B - Location de terrains et d'autres biens immobiliers,19040.126,19454.811
