Header,2018,2019
Nombre total d'entreprises,12434,12837
Chiffre d'affaires hors taxes (en millions d'euros),9200.973,10641.224
Effectifs équivalent temps plein (ETP) sur l'exercice comptable,73617.7,79607.2
Valeur ajoutée hors taxes (en millions d'euros),5025.261,5721.071
Excédent Brut d'Exploitation (en millions d'euros),588.798,938.26
Frais de personnel (en millions d'euros),4238.107,4594.316
Investissements corporels bruts hors apports (en millions d'euros),319.826,355.637
Entreprises,6688.022,7993.206
     dont Voyagistes et Agences de voyages (hors opérateurs en ligne) ,N,N
     dont Opérateurs en ligne,N,N
     dont Autres entreprises,N,N
Administrations,1072.2,935.939
Particuliers,1440.751,1712.079
Clientèle nationale,7824.689,8930.308
Clientèle étrangère,1376.284,1710.916
     dont Union européenne,593.846,786.223
     dont Hors Union européenne,782.438,924.693
Sous-traitance : études et prestations de services incorporées à la production,9.3,13.1
"Sous-traitance : matériel, équipements et travaux incorporés à la production",1.5,2.6
NR,N,N
NR,N,N
NR,N,N
NR,N,N
NR,N,N
Total de toutes les dépenses professionnelles,N,N
SO= Sans objet ; NR = Non renseigné.,,
"7120B - Analyses, essais et inspections techniques",5438.06,6397.04
7120A - Contrôle technique automobile,1429.285,1488.454
8690B - Laboratoires d'analyses médicales,516.559,618.36
4673B - Cce de gros (interentreprises) d'appareils sanit. et prod. décoration,472.567,N
