Header,2018,2019
Nombre total d'entreprises,4477,4195
Chiffre d'affaires hors taxes (en millions d'euros),3284.091,3131.908
Effectifs équivalent temps plein (ETP) sur l'exercice comptable,14647.9,15006.5
Valeur ajoutée hors taxes (en millions d'euros),305.611,425.061
Excédent Brut d'Exploitation (en millions d'euros),-373.824,279.898
Frais de personnel (en millions d'euros),784.342,746.678
Investissements corporels bruts hors apports (en millions d'euros),94.737,123.699
Entreprises,1425.288,1349.249
     dont Voyagistes et Agences de voyages (hors opérateurs en ligne) ,N,N
     dont Opérateurs en ligne,N,N
     dont Autres entreprises,N,N
Administrations,166.551,156.179
Particuliers,1692.252,1626.48
Clientèle nationale,2861.218,2645.253
Clientèle étrangère,422.873,486.656
     dont Union européenne,206.498,300.236
     dont Hors Union européenne,216.375,186.42
Sous-traitance : études et prestations de services incorporées à la production,6.4,6.5
"Sous-traitance : matériel, équipements et travaux incorporés à la production",1,3.2
"Achats ou reversements de   transports, hébergements, restauration, spectacles destinés à être incorporés dans la fabrication de voyages vendus ""clé en main"";",533.32,601.385
"Achats ou reversements de transports, hébergements, restauration, spectacles destinés à être revendus en l'état",285.969,101.846
Commissions reversées à des confrères pour vente de voyages organisés,46.098,42.346
Achats ou reversements de voyages organisés par d'autres entreprises,69.914,17.815
Achats de produits alimentaires (y compris boissons et plats cuisinés),0.661,0.288
Total de toutes les dépenses professionnelles,936.883,763.788
SO= Sans objet ; NR = Non renseigné.,,
7912Z - Activités des voyagistes,1964.735,1660.791
7911Z - Activités des agences de voyage,1093.599,1144.099
