Header,2018,2019
Nombre total d'entreprises,1097,1203
Chiffre d'affaires hors taxes (en millions d'euros),758.007,952.268
Effectifs équivalent temps plein (ETP) sur l'exercice comptable,5883.9,6469.6
Valeur ajoutée hors taxes (en millions d'euros),410.135,545.019
Excédent Brut d'Exploitation (en millions d'euros),9.237,71.94
Frais de personnel (en millions d'euros),395.929,474.511
Investissements corporels bruts hors apports (en millions d'euros),6.699,7.7
Entreprises,727.722,917.095
     dont Voyagistes et Agences de voyages (hors opérateurs en ligne) ,N,N
     dont Opérateurs en ligne,N,N
     dont Autres entreprises,N,N
Administrations,24.386,26.419
Particuliers,5.898,8.754
Clientèle nationale,657.569,860.985
Clientèle étrangère,100.438,91.283
     dont Union européenne,67.123,59.595
     dont Hors Union européenne,33.315,31.688
Sous-traitance : études et prestations de services incorporées à la production,23.5,15.1
"Sous-traitance : matériel, équipements et travaux incorporés à la production",4.3,1.2
NR,N,N
NR,N,N
NR,N,N
NR,N,N
NR,N,N
Total de toutes les dépenses professionnelles,N,N
SO= Sans objet ; NR = Non renseigné.,,
7810Z - Activités des agences de placement de main-d'œuvre,624.389,814.186
7022Z - Conseil pour les affaires et autres conseils de gestion,49.934,70.017
7820Z - Activités des agences de travail temporaire,39.458,N
