Header,2018,2019
Nombre total d'entreprises,13632,18876
Chiffre d'affaires hors taxes (en millions d'euros),7393.278,8856.151
Effectifs équivalent temps plein (ETP) sur l'exercice comptable,20876.2,21588.3
Valeur ajoutée hors taxes (en millions d'euros),1906.59,2058.486
Excédent Brut d'Exploitation (en millions d'euros),-948.553,-827.755
Frais de personnel (en millions d'euros),2723.827,2774.826
Investissements corporels bruts hors apports (en millions d'euros),478.502,552.579
Entreprises,7089.649,8246.784
     dont Voyagistes et Agences de voyages (hors opérateurs en ligne) ,N,N
     dont Opérateurs en ligne,N,N
     dont Autres entreprises,N,N
Administrations,18.822,159.902
Particuliers,284.807,449.465
Clientèle nationale,6560.984,7917.985
Clientèle étrangère,832.294,938.167
     dont Union européenne,403.884,469.732
     dont Hors Union européenne,428.41,468.435
Sous-traitance : études et prestations de services incorporées à la production,0.2,2.8
"Sous-traitance : matériel, équipements et travaux incorporés à la production",0.1,0.9
NR,N,N
NR,N,N
NR,N,N
NR,N,N
NR,N,N
Total de toutes les dépenses professionnelles,N,N
SO= Sans objet ; NR = Non renseigné.,,
7010Z - Activités des sièges sociaux,3932.743,4443.809
4671Z - Cce de gros (interentreprises) de combustibles et de produits annexes,1810.438,1872.736
"7112B - Ingénierie, études techniques",N,477.188
