Header,2018,2019
Nombre total d'entreprises,20046,19761
Chiffre d'affaires hors taxes (en millions d'euros),14682.965,16873.169
Effectifs équivalent temps plein (ETP) sur l'exercice comptable,63856.9,69510
Valeur ajoutée hors taxes (en millions d'euros),5311.708,6204.83
Excédent Brut d'Exploitation (en millions d'euros),281.718,1038.087
Frais de personnel (en millions d'euros),4852.047,5137.039
Investissements corporels bruts hors apports (en millions d'euros),432.879,473.99
Entreprises,13834.711,16029.899
     dont Voyagistes et Agences de voyages (hors opérateurs en ligne) ,N,N
     dont Opérateurs en ligne,N,N
     dont Autres entreprises,N,N
Administrations,347.424,415.946
Particuliers,500.83,427.324
Clientèle nationale,11796.793,13334.116
Clientèle étrangère,2886.172,3539.053
     dont Union européenne,1727.272,1996.767
     dont Hors Union européenne,1158.9,1542.285
Sous-traitance : études et prestations de services incorporées à la production,26.5,20.2
"Sous-traitance : matériel, équipements et travaux incorporés à la production",16,12.6
"Achats de création, production, édition publicitaire (frais techniques effectués à l'extérieur et refacturés à l'annonceur);",729.381,728.932
Reversements ou redevances aux propriétaires des supports (activité de régie),636.501,662.555
Achats ou location d'espaces en vue de transactions (y compris placement de petites annonces),206.139,274.146
"Achats de matériel et installations compris dans vos facturations ""clés en main""",20.495,29.588
"Achats de prestations de services techniques (décors, scénographie, animation, etc.)",15.643,28.195
Total de toutes les dépenses professionnelles,1666.703,1797.536
SO= Sans objet ; NR = Non renseigné.,,
7311Z - Activités des agences de publicité,8252.196,9573.32
7312Z - Régie publicitaire de médias,3706.169,4162.999
