Header,2018,2019
Nombre total d'entreprises,5641,6206
Chiffre d'affaires hors taxes (en millions d'euros),4014.019,4043.045
Effectifs équivalent temps plein (ETP) sur l'exercice comptable,22826.8,23298.2
Valeur ajoutée hors taxes (en millions d'euros),1784.539,1789.023
Excédent Brut d'Exploitation (en millions d'euros),613.259,665.166
Frais de personnel (en millions d'euros),1136.622,1184.56
Investissements corporels bruts hors apports (en millions d'euros),462.862,572.193
Entreprises,1462.441,1581.958
     dont Voyagistes et Agences de voyages (hors opérateurs en ligne) ,N,N
     dont Opérateurs en ligne,N,N
     dont Autres entreprises,N,N
Administrations,1078.372,1064.94
Particuliers,1473.206,1396.146
Clientèle nationale,3636.018,3539.8
Clientèle étrangère,378.001,503.244
     dont Union européenne,181.408,250.711
     dont Hors Union européenne,196.593,252.533
Sous-traitance : études et prestations de services incorporées à la production,13,7.7
"Sous-traitance : matériel, équipements et travaux incorporés à la production",6.2,3.6
NR,N,N
NR,N,N
NR,N,N
NR,N,N
NR,N,N
Total de toutes les dépenses professionnelles,N,N
SO= Sans objet ; NR = Non renseigné.,,
7729Z - Location et location-bail d'autres biens personnels et domestiques,2144.442,2350.748
7721Z - Location et location-bail d'articles de loisirs et de sport,487.681,486.636
4774Z - Cce de détail d'articles médicaux et orthop. en magasin spécialisé,376.112,376.184
