Header,2018,2019
Nombre total d'entreprises,340,335
Chiffre d'affaires hors taxes (en millions d'euros),559.556,628.079
Effectifs équivalent temps plein (ETP) sur l'exercice comptable,2463.9,2662.2
Valeur ajoutée hors taxes (en millions d'euros),187.553,230.035
Excédent Brut d'Exploitation (en millions d'euros),27.484,65.732
Frais de personnel (en millions d'euros),154.076,164.699
Investissements corporels bruts hors apports (en millions d'euros),S,S
Entreprises,549.537,612.299
     dont Voyagistes et Agences de voyages (hors opérateurs en ligne) ,N,N
     dont Opérateurs en ligne,N,N
     dont Autres entreprises,N,N
Administrations,4.469,12.218
Particuliers,5.55,3.561
Clientèle nationale,535.285,600.922
Clientèle étrangère,24.271,27.157
     dont Union européenne,18.445,16.279
     dont Hors Union européenne,5.826,10.878
Sous-traitance : études et prestations de services incorporées à la production,28.6,16.3
"Sous-traitance : matériel, équipements et travaux incorporés à la production",20.1,1.5
Reversements ou redevances aux propriétaires des supports (activité de régie),129.57,125.517
"Dépenses liées à la diffusion - Dépenses de transmission (faisceaux hertziens, canaux satellite, transmissions par câble)",40.649,40.458
Achats ou location d'espaces en vue de transactions (y compris placement de petites annonces),0.016,21.73
Achats et préachats de droits sur programmes télévisuels de stock,12.767,14.169
Achats de programmes télévisuels de flux,6.605,11.236
Total de toutes les dépenses professionnelles,251.976,275.281
SO= Sans objet ; NR = Non renseigné.,,
6010Z - Édition et diffusion de programmes radio,211.065,271.847
7312Z - Régie publicitaire de médias,151.354,149.619
6120Z - Télécommunications sans fil,72.728,87.067
6020A - Édition de chaînes généralistes,41.026,40.706
