Header,2018,2019
Nombre total d'entreprises,755,734
Chiffre d'affaires hors taxes (en millions d'euros),336.647,379.794
Effectifs équivalent temps plein (ETP) sur l'exercice comptable,1072.1,1068.5
Valeur ajoutée hors taxes (en millions d'euros),172.137,167.004
Excédent Brut d'Exploitation (en millions d'euros),114.855,110.46
Frais de personnel (en millions d'euros),51.968,52.646
Investissements corporels bruts hors apports (en millions d'euros),12.755,29.672
Entreprises,85.57,168.189
     dont Voyagistes et Agences de voyages (hors opérateurs en ligne) ,N,N
     dont Opérateurs en ligne,N,N
     dont Autres entreprises,N,N
Administrations,239,197.21
Particuliers,12.078,14.395
Clientèle nationale,318.291,371.665
Clientèle étrangère,18.357,8.128
     dont Union européenne,12.95,4.202
     dont Hors Union européenne,5.407,3.926
Sous-traitance : études et prestations de services incorporées à la production,2.9,8.4
"Sous-traitance : matériel, équipements et travaux incorporés à la production",0.3,0.3
NR,N,N
NR,N,N
NR,N,N
NR,N,N
NR,N,N
Total de toutes les dépenses professionnelles,N,N
SO= Sans objet ; NR = Non renseigné.,,
8110Z - Activités combinées de soutien lié aux bâtiments,309.47,341.158
