Header,2016,2017
Nombre total d'entreprises,229,216
Chiffre d'affaires hors taxes (en millions d'euros),18011.9,18554.9
Effectifs équivalent temps plein (ETP) sur l'exercice comptable,31057,26716
Valeur ajoutée hors taxes (en millions d'euros),7538.5,7644.9
Excédent Brut d'Exploitation (en millions d'euros),4791.1,4486.9
Frais de personnel (en millions d'euros),2244.8,2652.4
Investissements corporels bruts hors apports (en millions d'euros),S,S
Entreprises,5691.2,5749.8
Administrations,94.8,14.2
Particuliers,12225.9,12790.9
Clientèle nationale,17753.3,18394.5
Clientèle étrangère,258.5,160.3
     dont Union européenne,185.4,96.6
     dont Hors Union européenne,73.1,63.8
Sous-traitance : études et prestations de services incorporées à la production,N,N
"Sous-traitance : matériel, équipements et travaux incorporés à la production",N,N
"Achats de consommables, dont consommables photographiques, et de petits matériels électriques",1671.6,1745.8
Achats de matériels et de prestations de services techniques - Achats ou locations d'accessoires,8.2,8.5
"Dépenses liées à la diffusion - Dépenses de transmission (faisceaux hertziens, canaux satellite, transmissions par câble)",10,8.7
Reversements aux opérateurs de télécommunications,13,8.7
"Achats de matériel et installations compris dans vos facturations ""clés en main""",10,5
Total de toutes les dépenses professionnelles,1714,1777.3
SO= Sans objet ; NR = Non renseigné.,,
6120Z - Télécommunications sans fil,10549.2,10900.1
6110Z - Télécommunications filaires,5387.2,5407.3
4742Z - Cce de détail de matériels de télécommunication en magasin spécialisé,1015.2,984.7
