Header,2016,2017
Nombre total d'entreprises,629,707
Chiffre d'affaires hors taxes (en millions d'euros),32359.2,32764.1
Effectifs équivalent temps plein (ETP) sur l'exercice comptable,S,S
Valeur ajoutée hors taxes (en millions d'euros),17812.5,18157
Excédent Brut d'Exploitation (en millions d'euros),8577.4,8853.7
Frais de personnel (en millions d'euros),7840.2,7925.5
Investissements corporels bruts hors apports (en millions d'euros),S,S
Entreprises,27093.7,30012.7
Administrations,83.9,150.4
Particuliers,5181.5,2601
Clientèle nationale,31859.1,32196.4
Clientèle étrangère,500,567.7
     dont Union européenne,287.6,356
     dont Hors Union européenne,212.4,211.7
Sous-traitance : études et prestations de services incorporées à la production,28.1,33.3
"Sous-traitance : matériel, équipements et travaux incorporés à la production",N,N
Reversements aux opérateurs de télécommunications,242.3,241.4
Reversements aux éditeurs par les serveurs d'informations (notamment reversements aux bases de données),150.1,150.4
"Dépenses liées à la diffusion, Redevance payée aux chaînes pour leur diffusion par câble et satellite",142.5,146.2
"Achats de matériel et installations compris dans vos facturations ""clés en main""",76.5,64.5
"Dépenses liées à la diffusion - Dépenses de transmission (faisceaux hertziens, canaux satellite, transmissions par câble)",46.8,41.6
Total de toutes les dépenses professionnelles,669.3,649.6
SO= Sans objet ; NR = Non renseigné.,,
6110Z - Télécommunications filaires,17792.1,18367.3
6120Z - Télécommunications sans fil,9117.4,9103.7
