Header,2016,2017
Nombre total d'entreprises,4756,4813
Chiffre d'affaires hors taxes (en millions d'euros),1237.3,952.1
Effectifs équivalent temps plein (ETP) sur l'exercice comptable,2882,2634
Valeur ajoutée hors taxes (en millions d'euros),333.7,338.3
Excédent Brut d'Exploitation (en millions d'euros),122.6,119.3
Frais de personnel (en millions d'euros),215.5,227.1
Investissements corporels bruts hors apports (en millions d'euros),35.3,26.9
Entreprises,1196.7,871.6
Administrations,10.7,14.8
Particuliers,29.9,65.7
Clientèle nationale,933.8,618.4
Clientèle étrangère,303.5,333.7
     dont Union européenne,167.7,153.4
     dont Hors Union européenne,135.8,180.4
Sous-traitance : études et prestations de services incorporées à la production,16.8,13.8
"Sous-traitance : matériel, équipements et travaux incorporés à la production",10.9,7.7
Achats de matériels et de prestations de services techniques - Achats ou locations d'accessoires,5.1,13.3
"Charges de locations de salles ou matériel (lieux de répétition, d'accueils de spectacles, son, éclairage)",2.7,10.9
Achats de prestations sur films cinématographiques,0.5,5.4
"Achats de consommables, dont consommables photographiques, et de petits matériels électriques",2.8,3.1
Versements des droits d'auteur et des droits voisins,3.4,3.1
Total de toutes les dépenses professionnelles,33.1,46
SO= Sans objet ; NR = Non renseigné.,,
5920Z - Enregistrement sonore et édition musicale,1083.1,771.1
9001Z - Arts du spectacle vivant,20.3,59.6
