Header,2016,2017
Nombre total d'entreprises,2000,1990
Chiffre d'affaires hors taxes (en millions d'euros),3223.6,3145.3
Effectifs équivalent temps plein (ETP) sur l'exercice comptable,S,S
Valeur ajoutée hors taxes (en millions d'euros),1073.7,1156.1
Excédent Brut d'Exploitation (en millions d'euros),263.2,371.3
Frais de personnel (en millions d'euros),768.9,744.9
Investissements corporels bruts hors apports (en millions d'euros),121.5,275.1
Entreprises,2565.1,2357.8
Administrations,82.4,105.2
Particuliers,576.1,682.3
Clientèle nationale,2589.1,2463.3
Clientèle étrangère,634.4,682
     dont Union européenne,463.9,523.2
     dont Hors Union européenne,170.5,158.8
Sous-traitance : études et prestations de services incorporées à la production,15.6,9.9
"Sous-traitance : matériel, équipements et travaux incorporés à la production",9.8,5.2
Reversements aux éditeurs par les serveurs d'informations (notamment reversements aux bases de données),N,35.5
Reversements aux opérateurs de télécommunications,N,18.4
"Achats de matériel et installations compris dans vos facturations ""clés en main""",N,1.3
Dépenses de publicité,0.1,1
Reversements ou redevances aux propriétaires des supports (activité de régie),0,0.9
Total de toutes les dépenses professionnelles,24.2,57.9
SO= Sans objet ; NR = Non renseigné.,,
6190Z - Autres activités de télécommunication,2364.1,2354.9
4742Z - Cce de détail de matériels de télécommunication en magasin spécialisé,264.3,191.7
7010Z - Activités des sièges sociaux,125.6,169.4
4222Z - Construction de réseaux électriques et de télécommunications,169.4,81.4
