Header,2016,2017
Nombre total d'entreprises,24429,23222
Chiffre d'affaires hors taxes (en millions d'euros),6905.1,5722.9
Effectifs équivalent temps plein (ETP) sur l'exercice comptable,38538,31162
Valeur ajoutée hors taxes (en millions d'euros),2018.9,1543.4
Excédent Brut d'Exploitation (en millions d'euros),427.2,248.7
Frais de personnel (en millions d'euros),1432.9,1169.3
Investissements corporels bruts hors apports (en millions d'euros),872.7,695.5
Entreprises,3145.1,2325.2
     dont Voyagistes et Agences de voyages (hors opérateurs en ligne) ,37,43.9
     dont Opérateurs en ligne,57.2,35.8
     dont Autres entreprises,3050.9,2245.4
Administrations,285.5,116.9
Particuliers,3474.5,3280.8
Clientèle nationale,5261.8,4798.6
Clientèle étrangère,1643.3,924.2
     dont Union européenne,1329.6,599.5
     dont Hors Union européenne,313.7,324.7
Sous-traitance : études et prestations de services incorporées à la production,5.7,7.6
"Sous-traitance : matériel, équipements et travaux incorporés à la production",3.3,5.9
"Achats ou reversements de transports, hébergements, restauration, spectacles destinés à être revendus en l'état",233.2,251.1
Achats de produits alimentaires (y compris boissons et plats cuisinés),249.9,141.6
Commissions reversées à des confrères pour vente de voyages organisés,71.6,70.4
Dépenses de promotion,53.3,52.7
Achats ou reversements de voyages organisés par d'autres entreprises,12.7,10
Total de toutes les dépenses professionnelles,636,527
SO= Sans objet ; NR = Non renseigné.,,
5520Z - Hébergement touristique et autre hébergement de courte durée,4693.1,3863.8
7911Z - Activités des agences de voyage,482.6,532.7
