Header,2020,2021
Nombre total d'entreprises,22851,24267
Chiffre d'affaires hors taxes (en millions d'euros),125058.899,144240.214
Marge commerciale (en millions d'euros),36236.579,43149.58
Nombre de magasins,N,N
Surface totale de vente (en m²),N,N
Effectifs équivalent temps plein (ETP) sur l'exercice comptable,178181.6,192294.3
Part du chiffre d'affaires provenant des ventes par Internet,N,N
Taux de marge commerciale,31.9,32.9
Taux de marge d'exploitation : Excédent brut d'exploitation / valeur ajoutée,39.7,46.2
Taux de rentabilité économique : Excédent Brut d'Exploitation  / (immobilisations + Besoin en Fond de Roulement)  ,14.2,22
Taux d'Investissement : Investissements / Valeur Ajoutée ,6.4,5.8
Taux d'autofinancement : Capacité d'autofinancement/ Investissements corporels hors apports ,627.8,1131.6
Vente en gros,87.8,87.7
"Vente au détail, hors carburant",2.6,2.9
Fabrication,4.3,4
Services,4.6,4.7
Carburant,0,0
Commerce et réparation d’automobiles et de motocycles,0.7,0.7
Vente à des centrales d’achats,19.1,10.8
Vente à des grossistes,17.8,12.1
Vente à des détaillants,27.5,44.2
"Total de la vente à des revendeurs (centrales d’achats, grossistes, union de coopératives, détaillants…)",64.4,67
"Vente à d’autres utilisateurs professionnels (producteurs, industriels, artisans, agriculteurs, administrations, collectivités…)",20.8,13
Vente aux particuliers,2.5,11
Etranger,12.3,9.1
120 m² ou moins,N,N
De 120 m² à 400 m²,N,N
De 400 m² à 2500 m²,N,N
2500 m² ou plus,N,N
"Centrales d'achats, grossistes, France",15.1,13.7
"Producteurs, filiales de commercialisation, France",33,31.1
"Grossistes, centrales d'achats, producteurs, étranger",48.4,53.2
"Autres, France",3.5,2
Ensemble  ,100,100
"Frais de publicité (annonces et insertions, imprimés et catalogues, foires et expositions, Internet…)",1793.812,2195.2
Appel à un (ou plusieurs) transporteur(s) pour assurer le transport des marchandises ou de la production,1659.314,2266.286
"Redevances pour concessions, licences, marques, franchises (hors droit d’entrée)",354.906,273.732
Total de ces dépenses,3808.032,4735.217
4646ZA1 - Médicaments à usage humain,30.7,31.1
Total de ces produits,30.7,31.1
"Certains produits ne sont pas connus en détail : ainsi, les libellés des codes se terminant par '..' correspondent à ceux de la NAF sur 5 positions.",,
