Header,2020,2021
Nombre total d'entreprises,50299,56548
Chiffre d'affaires hors taxes (en millions d'euros),121624.506,136731.441
Marge commerciale (en millions d'euros),9744.263,11584.081
Nombre de magasins,N,N
Surface totale de vente (en m²),N,N
Effectifs équivalent temps plein (ETP) sur l'exercice comptable,84909.5,96381.6
Part du chiffre d'affaires provenant des ventes par Internet,N,N
Taux de marge commerciale,9,9.6
Taux de marge d'exploitation : Excédent brut d'exploitation / valeur ajoutée,29.7,30.2
Taux de rentabilité économique : Excédent Brut d'Exploitation  / (immobilisations + Besoin en Fond de Roulement)  ,11.2,11
Taux d'Investissement : Investissements / Valeur Ajoutée ,11.4,11.2
Taux d'autofinancement : Capacité d'autofinancement/ Investissements corporels hors apports ,132.9,144.2
Vente en gros,91.3,91.3
"Vente au détail, hors carburant",3.1,2.9
Fabrication,1.9,2.6
Services,3.3,3
Carburant,0.3,0.2
Commerce et réparation d’automobiles et de motocycles,0.1,0.1
Vente à des centrales d’achats,21.9,20.6
Vente à des grossistes,2.2,3.1
Vente à des détaillants,62.4,59.6
"Total de la vente à des revendeurs (centrales d’achats, grossistes, union de coopératives, détaillants…)",86.5,83.3
"Vente à d’autres utilisateurs professionnels (producteurs, industriels, artisans, agriculteurs, administrations, collectivités…)",9.8,9.1
Vente aux particuliers,0.7,4.2
Etranger,3,3.3
120 m² ou moins,N,N
De 120 m² à 400 m²,N,N
De 400 m² à 2500 m²,N,N
2500 m² ou plus,N,N
"Centrales d'achats, grossistes, France",47.3,45
"Producteurs, filiales de commercialisation, France",41.8,43
"Grossistes, centrales d'achats, producteurs, étranger",9.3,11.1
"Autres, France",1.5,0.9
Ensemble  ,100,100
"Frais de publicité (annonces et insertions, imprimés et catalogues, foires et expositions, Internet…)",1312.72,1507.295
Appel à un (ou plusieurs) transporteur(s) pour assurer le transport des marchandises ou de la production,749.377,900.378
"Redevances pour concessions, licences, marques, franchises (hors droit d’entrée)",202.993,59.477
Total de ces dépenses,2265.09,2467.15
4617AA5 - Reventes en l'état de Produits alimentaires (à l'exclusion des boissons alcoolisées),31.2,29
4612AA5 - Revente en l'état de Carburants,12.4,15
4619AA5 - Revente en l'état de Produits non alimentaires (à l'exclusion des boissons alcoolisées),11.3,10
4617AO2 - Centrales d'achat alimentaires - commissions,6.1,5.5
4617AO5 - Centrales d'achat alimentaires - revente en l'état,5.1,N
Total de ces produits,66.2,59.5
"Certains produits ne sont pas connus en détail : ainsi, les libellés des codes se terminant par '..' correspondent à ceux de la NAF sur 5 positions.",,
