Header,2020,2021
Nombre total d'entreprises,12654,13412
Chiffre d'affaires hors taxes (en millions d'euros),13504.988,14680.83
Marge commerciale (en millions d'euros),3758.756,4072.544
Nombre de magasins,N,N
Surface totale de vente (en m²),N,N
Effectifs équivalent temps plein (ETP) sur l'exercice comptable,21203.9,25246.9
Part du chiffre d'affaires provenant des ventes par Internet,N,N
Taux de marge commerciale,31,31
Taux de marge d'exploitation : Excédent brut d'exploitation / valeur ajoutée,37.1,35.3
Taux de rentabilité économique : Excédent Brut d'Exploitation  / (immobilisations + Besoin en Fond de Roulement)  ,11.5,15.4
Taux d'Investissement : Investissements / Valeur Ajoutée ,15.8,18.3
Taux d'autofinancement : Capacité d'autofinancement/ Investissements corporels hors apports ,159.7,153.4
Vente en gros,91.7,91.3
"Vente au détail, hors carburant",1.1,1
Fabrication,3.7,4
Services,3.5,3.6
Carburant,0,0
Commerce et réparation d’automobiles et de motocycles,0,0
Vente à des centrales d’achats,11,13.8
Vente à des grossistes,5.1,6.3
Vente à des détaillants,14,39.1
"Total de la vente à des revendeurs (centrales d’achats, grossistes, union de coopératives, détaillants…)",30.1,59.3
"Vente à d’autres utilisateurs professionnels (producteurs, industriels, artisans, agriculteurs, administrations, collectivités…)",46.2,13.3
Vente aux particuliers,7.4,14.5
Etranger,16.3,12.9
120 m² ou moins,N,N
De 120 m² à 400 m²,N,N
De 400 m² à 2500 m²,N,N
2500 m² ou plus,N,N
"Centrales d'achats, grossistes, France",32.1,36.6
"Producteurs, filiales de commercialisation, France",21.9,17.8
"Grossistes, centrales d'achats, producteurs, étranger",41.2,42.9
"Autres, France",4.8,2.7
Ensemble  ,100,100
"Frais de publicité (annonces et insertions, imprimés et catalogues, foires et expositions, Internet…)",180.01,167.81
Appel à un (ou plusieurs) transporteur(s) pour assurer le transport des marchandises ou de la production,321.036,249.696
"Redevances pour concessions, licences, marques, franchises (hors droit d’entrée)",135.389,122.903
Total de ces dépenses,636.435,540.409
"4690ZO1 - Commerce de gros non spécialisé, alimentaire ou non (vente de lots)",87.5,85.4
Total de ces produits,87.5,85.4
"Certains produits ne sont pas connus en détail : ainsi, les libellés des codes se terminant par '..' correspondent à ceux de la NAF sur 5 positions.",,
