Header,2020,2021
Nombre total d'entreprises,73142,71493
Chiffre d'affaires hors taxes (en millions d'euros),3873.077,4198.502
Marge commerciale (en millions d'euros),1417.129,1521.98
Nombre de magasins,3228,4939
Surface totale de vente (en m²),106553,558467
Effectifs équivalent temps plein (ETP) sur l'exercice comptable,11185.7,13196.6
Part du chiffre d'affaires provenant des ventes par Internet,1.1,0.4
Taux de marge commerciale,38.9,38.9
Taux de marge d'exploitation : Excédent brut d'exploitation / valeur ajoutée,43.2,40.8
Taux de rentabilité économique : Excédent Brut d'Exploitation  / (immobilisations + Besoin en Fond de Roulement)  ,20.1,20
Taux d'Investissement : Investissements / Valeur Ajoutée ,31.9,33.4
Taux d'autofinancement : Capacité d'autofinancement/ Investissements corporels hors apports ,129.6,117.9
Vente en gros,0.1,1.3
"Vente au détail, hors carburant",93.9,92
Fabrication,4.4,5.1
Services,1.6,1.6
Carburant,0,0
Commerce et réparation d’automobiles et de motocycles,0,0
Vente à des centrales d’achats,N,N
Vente à des grossistes,N,N
Vente à des détaillants,N,N
"Total de la vente à des revendeurs (centrales d’achats, grossistes, union de coopératives, détaillants…)",3.1,1.8
"Vente à d’autres utilisateurs professionnels (producteurs, industriels, artisans, agriculteurs, administrations, collectivités…)",1.2,1.6
Vente aux particuliers,94.8,96.3
Etranger,0.9,0.3
120 m² ou moins,97.3,88.5
De 120 m² à 400 m²,2.3,8.4
De 400 m² à 2500 m²,0.3,2.3
2500 m² ou plus,0,0.9
"Centrales d'achats, grossistes, France",68,69.6
"Producteurs, filiales de commercialisation, France",21.1,24.4
"Grossistes, centrales d'achats, producteurs, étranger",6.1,4
"Autres, France",4.8,2
Ensemble  ,100,100
"Frais de publicité (annonces et insertions, imprimés et catalogues, foires et expositions, Internet…)",15.312,2.413
Appel à un (ou plusieurs) transporteur(s) pour assurer le transport des marchandises ou de la production,7.936,8.748
"Redevances pour concessions, licences, marques, franchises (hors droit d’entrée)",0.747,0.512
Total de ces dépenses,23.995,11.673
"4721ZO1 - Fruits et légumes frais, pommes de terre",33.5,31.3
"4723ZO1 - Poissons, crustacés, mollusques (dont conserves)",16.8,16.9
4722ZO1 - Viandes et produits à base de viande (dont conserves),11.8,14
"4729ZJ1 - Produits laitiers (dont oeufs, fromages, yaourts)",9.8,10.1
4781Z00 - Commerce de détail alimentaire sur éventaires et marchés,7.1,N
Total de ces produits,78.8,72.4
"Certains produits ne sont pas connus en détail : ainsi, les libellés des codes se terminant par '..' correspondent à ceux de la NAF sur 5 positions.",,
