Header,2020,2021
Nombre total d'entreprises,18794,20133
Chiffre d'affaires hors taxes (en millions d'euros),107410.197,115053.965
Marge commerciale (en millions d'euros),23101.343,24505.058
Nombre de magasins,N,N
Surface totale de vente (en m²),N,N
Effectifs équivalent temps plein (ETP) sur l'exercice comptable,145764.1,152870.4
Part du chiffre d'affaires provenant des ventes par Internet,N,N
Taux de marge commerciale,23.2,22.9
Taux de marge d'exploitation : Excédent brut d'exploitation / valeur ajoutée,31.2,34.6
Taux de rentabilité économique : Excédent Brut d'Exploitation  / (immobilisations + Besoin en Fond de Roulement)  ,12.8,14.2
Taux d'Investissement : Investissements / Valeur Ajoutée ,10.5,11.9
Taux d'autofinancement : Capacité d'autofinancement/ Investissements corporels hors apports ,230.3,221
Vente en gros,91,91.2
"Vente au détail, hors carburant",4.4,4.1
Fabrication,2.3,2.5
Services,2.2,2.1
Carburant,0,0
Commerce et réparation d’automobiles et de motocycles,0.1,0.1
Vente à des centrales d’achats,28.9,20.1
Vente à des grossistes,13.3,13.5
Vente à des détaillants,23.6,27.5
"Total de la vente à des revendeurs (centrales d’achats, grossistes, union de coopératives, détaillants…)",65.8,61.1
"Vente à d’autres utilisateurs professionnels (producteurs, industriels, artisans, agriculteurs, administrations, collectivités…)",16.1,10.5
Vente aux particuliers,1.7,12.9
Etranger,16.4,15.4
120 m² ou moins,N,N
De 120 m² à 400 m²,N,N
De 400 m² à 2500 m²,N,N
2500 m² ou plus,N,N
"Centrales d'achats, grossistes, France",18.3,17
"Producteurs, filiales de commercialisation, France",46.4,46.1
"Grossistes, centrales d'achats, producteurs, étranger",32.1,34
"Autres, France",3.2,3
Ensemble  ,100,100
"Frais de publicité (annonces et insertions, imprimés et catalogues, foires et expositions, Internet…)",1874.178,2009.692
Appel à un (ou plusieurs) transporteur(s) pour assurer le transport des marchandises ou de la production,1918.061,1960.329
"Redevances pour concessions, licences, marques, franchises (hors droit d’entrée)",105.615,109.91
Total de ces dépenses,3897.854,4079.931
4631ZB1 - Fruits et légumes frais,16,15.4
"4639BO1 - Produits alimentaires non spécialisés (denrées alimentaires non surgelées, boissons et tabac)",15.2,13.1
"4634ZA1 - Boissons alcoolisées (vins, bières, alcools, spiritueux etc., dont l’achat de vin en vrac et sa mise en bouteilles sans transformation ) hors traitements oenologiques",10.5,12.3
"4637ZO1 - Café, thé, infusions, cacao et épices",N,5.3
Total de ces produits,41.7,46.2
"Certains produits ne sont pas connus en détail : ainsi, les libellés des codes se terminant par '..' correspondent à ceux de la NAF sur 5 positions.",,
