Header,2020,2021
Nombre total d'entreprises,131219,131987
Chiffre d'affaires hors taxes (en millions d'euros),99116.227,109942.126
Marge commerciale (en millions d'euros),35918.382,40789.259
Nombre de magasins,134010,143030
Surface totale de vente (en m²),22887807,25206138
Effectifs équivalent temps plein (ETP) sur l'exercice comptable,349843.1,383794.9
Part du chiffre d'affaires provenant des ventes par Internet,2.3,2.7
Taux de marge commerciale,38.7,39.7
Taux de marge d'exploitation : Excédent brut d'exploitation / valeur ajoutée,25.8,34.4
Taux de rentabilité économique : Excédent Brut d'Exploitation  / (immobilisations + Besoin en Fond de Roulement)  ,8.7,14.4
Taux d'Investissement : Investissements / Valeur Ajoutée ,8.6,7.9
Taux d'autofinancement : Capacité d'autofinancement/ Investissements corporels hors apports ,219.7,357.3
Vente en gros,3.7,3.2
"Vente au détail, hors carburant",90.1,90.4
Fabrication,1,1.1
Services,4.9,5.1
Carburant,0.3,0.1
Commerce et réparation d’automobiles et de motocycles,0,0
Vente à des centrales d’achats,N,N
Vente à des grossistes,N,N
Vente à des détaillants,N,N
"Total de la vente à des revendeurs (centrales d’achats, grossistes, union de coopératives, détaillants…)",9.5,1.2
"Vente à d’autres utilisateurs professionnels (producteurs, industriels, artisans, agriculteurs, administrations, collectivités…)",3,0.9
Vente aux particuliers,84.4,94.4
Etranger,3.1,3.4
120 m² ou moins,72.9,71
De 120 m² à 400 m²,20.5,23.1
De 400 m² à 2500 m²,6.1,5.2
2500 m² ou plus,0.5,0.7
"Centrales d'achats, grossistes, France",55.3,62.4
"Producteurs, filiales de commercialisation, France",19.7,14.6
"Grossistes, centrales d'achats, producteurs, étranger",18.5,19.5
"Autres, France",6.6,3.5
Ensemble  ,100,100
"Frais de publicité (annonces et insertions, imprimés et catalogues, foires et expositions, Internet…)",709.169,712.89
Appel à un (ou plusieurs) transporteur(s) pour assurer le transport des marchandises ou de la production,507.662,576.683
"Redevances pour concessions, licences, marques, franchises (hors droit d’entrée)",358.889,513.791
Total de ces dépenses,1575.719,1803.364
4773ZA1 - Spécialités pharmaceutiques remboursables (dont homéopathie),28.6,30.4
4771ZB1 - Vêtements pour dame (dont manteaux et imperméables),8.6,10
4778AA1 - Articles d'optique,6.9,6.3
Total de ces produits,44.1,46.7
"Certains produits ne sont pas connus en détail : ainsi, les libellés des codes se terminant par '..' correspondent à ceux de la NAF sur 5 positions.",,
