Header,2020,2021
Nombre total d'entreprises,2776,2727
Chiffre d'affaires hors taxes (en millions d'euros),5272.481,6334.908
Marge commerciale (en millions d'euros),1231.32,1325.83
Nombre de magasins,3462,3109
Surface totale de vente (en m²),434945,394874
Effectifs équivalent temps plein (ETP) sur l'exercice comptable,11580.3,12238.8
Part du chiffre d'affaires provenant des ventes par Internet,N,N
Taux de marge commerciale,25.1,22.2
Taux de marge d'exploitation : Excédent brut d'exploitation / valeur ajoutée,19.1,27.1
Taux de rentabilité économique : Excédent Brut d'Exploitation  / (immobilisations + Besoin en Fond de Roulement)  ,8.5,13.1
Taux d'Investissement : Investissements / Valeur Ajoutée ,6.5,8.1
Taux d'autofinancement : Capacité d'autofinancement/ Investissements corporels hors apports ,137.4,165.7
Vente en gros,1.4,1
"Vente au détail, hors carburant",9.6,6.8
Fabrication,0.1,0.1
Services,4.5,2.6
Carburant,81.3,86
Commerce et réparation d’automobiles et de motocycles,3,3.6
Vente à des centrales d’achats,N,N
Vente à des grossistes,N,N
Vente à des détaillants,N,N
"Total de la vente à des revendeurs (centrales d’achats, grossistes, union de coopératives, détaillants…)",1.6,6.2
"Vente à d’autres utilisateurs professionnels (producteurs, industriels, artisans, agriculteurs, administrations, collectivités…)",5,10.8
Vente aux particuliers,92.7,83.1
Etranger,0.7,0
120 m² ou moins,65.7,64.5
De 120 m² à 400 m²,31.8,33.9
De 400 m² à 2500 m²,1.9,1.2
2500 m² ou plus,0.5,0.4
"Centrales d'achats, grossistes, France",59.1,85.1
"Producteurs, filiales de commercialisation, France",21.9,7.5
"Grossistes, centrales d'achats, producteurs, étranger",11.1,5
"Autres, France",7.9,2.4
Ensemble  ,100,100
"Frais de publicité (annonces et insertions, imprimés et catalogues, foires et expositions, Internet…)",5.19,4.802
Appel à un (ou plusieurs) transporteur(s) pour assurer le transport des marchandises ou de la production,24.612,16.105
"Redevances pour concessions, licences, marques, franchises (hors droit d’entrée)",31.506,6.398
Total de ces dépenses,61.309,27.305
4730ZA9 - Carburants,61.6,66.8
4730ZO9 - Carburants et lubrifiants,13.2,15.8
4730ZO2 - Commissions sur carburants et lubrifiants,5.3,N
Total de ces produits,80.1,82.5
"Certains produits ne sont pas connus en détail : ainsi, les libellés des codes se terminant par '..' correspondent à ceux de la NAF sur 5 positions.",,
