Header,2018,2019
Nombre total d'entreprises,5565,5700
Chiffre d'affaires hors taxes (en millions d'euros),7079.792,6961.197
Effectifs équivalent temps plein (ETP) sur l'exercice comptable,116410.3,113777.9
Valeur ajoutée hors taxes (en millions d'euros),5249.921,5043.758
Excédent Brut d'Exploitation (en millions d'euros),283.863,337.012
Frais de personnel (en millions d'euros),4789.438,4546.485
Investissements corporels bruts hors apports (en millions d'euros),108.092,133.014
Entreprises,5422.731,5516.857
     dont Voyagistes et Agences de voyages (hors opérateurs en ligne) ,N,N
     dont Opérateurs en ligne,N,N
     dont Autres entreprises,N,N
Administrations,1227.505,1103.176
Particuliers,429.556,341.165
Clientèle nationale,6982.685,6904.557
Clientèle étrangère,97.107,56.64
     dont Union européenne,58.753,28.808
     dont Hors Union européenne,38.354,27.832
Sous-traitance : études et prestations de services incorporées à la production,22.4,19.1
"Sous-traitance : matériel, équipements et travaux incorporés à la production",2.4,5.1
NR,N,N
NR,N,N
NR,N,N
NR,N,N
NR,N,N
Total de toutes les dépenses professionnelles,N,N
SO= Sans objet ; NR = Non renseigné.,,
8010Z - Activités de sécurité privée,6575.878,6533.393
