Header,2018,2019
Nombre total d'entreprises,10229,12897
Chiffre d'affaires hors taxes (en millions d'euros),13885.441,11632.015
Effectifs équivalent temps plein (ETP) sur l'exercice comptable,23474,21508.5
Valeur ajoutée hors taxes (en millions d'euros),2745.517,2764.929
Excédent Brut d'Exploitation (en millions d'euros),-1019.64,-786.281
Frais de personnel (en millions d'euros),3528.715,3319.411
Investissements corporels bruts hors apports (en millions d'euros),505.487,750.178
Entreprises,12757.01,10688.462
     dont Voyagistes et Agences de voyages (hors opérateurs en ligne) ,N,N
     dont Opérateurs en ligne,N,N
     dont Autres entreprises,N,N
Administrations,70.175,499.028
Particuliers,1058.256,444.525
Clientèle nationale,11811.261,10042.397
Clientèle étrangère,2074.18,1589.618
     dont Union européenne,772.758,1073.222
     dont Hors Union européenne,1301.423,516.396
Sous-traitance : études et prestations de services incorporées à la production,2.6,3.7
"Sous-traitance : matériel, équipements et travaux incorporés à la production",1.8,1.7
NR,N,N
NR,N,N
NR,N,N
NR,N,N
NR,N,N
Total de toutes les dépenses professionnelles,N,N
SO= Sans objet ; NR = Non renseigné.,,
7010Z - Activités des sièges sociaux,5389.983,5678.767
4671Z - Cce de gros (interentreprises) de combustibles et de produits annexes,4961.121,3826.21
