Header,2018,2019
Nombre total d'entreprises,163616,189872
Chiffre d'affaires hors taxes (en millions d'euros),31826.232,34425.823
Effectifs équivalent temps plein (ETP) sur l'exercice comptable,111466.6,126072.6
Valeur ajoutée hors taxes (en millions d'euros),16832.561,18390.697
Excédent Brut d'Exploitation (en millions d'euros),3955.381,4235.319
Frais de personnel (en millions d'euros),12359.954,13651.145
Investissements corporels bruts hors apports (en millions d'euros),1206.542,1694.503
Entreprises,28004.804,30693.342
     dont Voyagistes et Agences de voyages (hors opérateurs en ligne) ,N,N
     dont Opérateurs en ligne,N,N
     dont Autres entreprises,N,N
Administrations,1673.2,1882.813
Particuliers,2148.229,1849.667
Clientèle nationale,25958.039,28489.168
Clientèle étrangère,5868.193,5936.655
     dont Union européenne,3486.135,3255.726
     dont Hors Union européenne,2382.059,2680.929
Sous-traitance : études et prestations de services incorporées à la production,10.8,9.5
"Sous-traitance : matériel, équipements et travaux incorporés à la production",3.1,3.3
NR,N,N
NR,N,N
NR,N,N
NR,N,N
NR,N,N
Total de toutes les dépenses professionnelles,N,N
SO= Sans objet ; NR = Non renseigné.,,
7022Z - Conseil pour les affaires et autres conseils de gestion,25622.708,28323.941
7021Z - Conseil en relations publiques et communication,2552.963,2817.489
