Header,2018,2019
Nombre total d'entreprises,24566,26843
Chiffre d'affaires hors taxes (en millions d'euros),16415.626,16705.587
Effectifs équivalent temps plein (ETP) sur l'exercice comptable,38751.1,37057.4
Valeur ajoutée hors taxes (en millions d'euros),4988.864,4947.504
Excédent Brut d'Exploitation (en millions d'euros),2384.932,2384.622
Frais de personnel (en millions d'euros),2436.561,2401.073
Investissements corporels bruts hors apports (en millions d'euros),3307.985,3413.305
Entreprises,14883.273,15491.624
     dont Voyagistes et Agences de voyages (hors opérateurs en ligne) ,N,N
     dont Opérateurs en ligne,N,N
     dont Autres entreprises,N,N
Administrations,1017.154,880.249
Particuliers,515.199,333.715
Clientèle nationale,12680.749,12659.788
Clientèle étrangère,3734.877,4045.799
     dont Union européenne,1270.538,1228.103
     dont Hors Union européenne,2464.339,2817.695
Sous-traitance : études et prestations de services incorporées à la production,2.9,2.4
"Sous-traitance : matériel, équipements et travaux incorporés à la production",2.8,0.7
NR,N,N
NR,N,N
NR,N,N
NR,N,N
NR,N,N
Total de toutes les dépenses professionnelles,N,N
SO= Sans objet ; NR = Non renseigné.,,
"7739Z - Loc. et loc.-bail d'autres machines, équip. et biens matériels n.c.a.",4781.131,5383.842
7732Z - Location et location-bail de machines et équip. pour la construction,3043.001,3111.889
7735Z - Location et location-bail de matériels de transport aérien,1806.821,2096.601
7733Z - Location et location-bail de mach. de bureau et de matériel informat.,1705.749,1540.458
