Header,2018,2019
Nombre total d'entreprises,1971,1999
Chiffre d'affaires hors taxes (en millions d'euros),3555.993,S
Effectifs équivalent temps plein (ETP) sur l'exercice comptable,S,9486.9
Valeur ajoutée hors taxes (en millions d'euros),1152.534,S
Excédent Brut d'Exploitation (en millions d'euros),345.372,S
Frais de personnel (en millions d'euros),766.232,S
Investissements corporels bruts hors apports (en millions d'euros),269.589,348.782
Entreprises,2671.816,S
     dont Voyagistes et Agences de voyages (hors opérateurs en ligne) ,N,S
     dont Opérateurs en ligne,N,S
     dont Autres entreprises,N,S
Administrations,388.671,S
Particuliers,495.506,S
Clientèle nationale,2854.772,S
Clientèle étrangère,701.221,S
     dont Union européenne,432.832,S
     dont Hors Union européenne,268.39,S
Sous-traitance : études et prestations de services incorporées à la production,10.4,13
"Sous-traitance : matériel, équipements et travaux incorporés à la production",0.7,8
Reversements aux opérateurs de télécommunications,64.712,S
Reversements aux éditeurs par les serveurs d'informations (notamment reversements aux bases de données),30.15,S
Achats ou dépenses de crédit-bail (leasing) pour compte de tiers,2.756,S
"Achats de matériel et installations compris dans vos facturations ""clés en main""",14.265,S
"Dépenses liées à la diffusion - Dépenses de transmission (faisceaux hertziens, canaux satellite, transmissions par câble)",0.7,S
Total de toutes les dépenses professionnelles,115.399,S
SO= Sans objet ; NR = Non renseigné.,,
4742Z - Cce de détail de matériels de télécommunication en magasin spécialisé,N,S
6190Z - Autres activités de télécommunication,2891.177,S
