Header,2018,2019
Nombre total d'entreprises,68678,70580
Chiffre d'affaires hors taxes (en millions d'euros),26891.462,26847.963
Effectifs équivalent temps plein (ETP) sur l'exercice comptable,91527,94845
Valeur ajoutée hors taxes (en millions d'euros),19511.899,19206.398
Excédent Brut d'Exploitation (en millions d'euros),9014.755,8249.76
Frais de personnel (en millions d'euros),9737.407,10191.599
Investissements corporels bruts hors apports (en millions d'euros),148.028,352.845
Entreprises,13846.865,12742.033
     dont Voyagistes et Agences de voyages (hors opérateurs en ligne) ,N,N
     dont Opérateurs en ligne,N,N
     dont Autres entreprises,N,N
Administrations,1680.302,1430.072
Particuliers,11364.295,12675.857
Clientèle nationale,24309.291,24335.582
Clientèle étrangère,2582.171,2512.381
     dont Union européenne,1474.39,1447.772
     dont Hors Union européenne,1107.781,1064.609
Sous-traitance : études et prestations de services incorporées à la production,7.4,9.1
"Sous-traitance : matériel, équipements et travaux incorporés à la production",0.3,1.3
NR,N,N
NR,N,N
NR,N,N
NR,N,N
NR,N,N
Total de toutes les dépenses professionnelles,N,N
SO= Sans objet ; NR = Non renseigné.,,
6910Z - Activités juridiques,26622.112,26437.693
