Header,2018,2019
Nombre total d'entreprises,22355,23472
Chiffre d'affaires hors taxes (en millions d'euros),19028.902,23020.961
Effectifs équivalent temps plein (ETP) sur l'exercice comptable,104822.6,106570.2
Valeur ajoutée hors taxes (en millions d'euros),7602.333,7889.512
Excédent Brut d'Exploitation (en millions d'euros),975.86,1256.441
Frais de personnel (en millions d'euros),6273.271,6324.418
Investissements corporels bruts hors apports (en millions d'euros),663.339,953.832
Entreprises,17431.98,19633.527
     dont Voyagistes et Agences de voyages (hors opérateurs en ligne) ,N,N
     dont Opérateurs en ligne,N,N
     dont Autres entreprises,N,N
Administrations,738.007,1290.246
Particuliers,858.915,2097.188
Clientèle nationale,15838.151,19271.475
Clientèle étrangère,3190.751,3749.486
     dont Union européenne,1260.678,1875.267
     dont Hors Union européenne,1930.073,1874.219
Sous-traitance : études et prestations de services incorporées à la production,9,16.1
"Sous-traitance : matériel, équipements et travaux incorporés à la production",2.7,8.5
NR,N,N
NR,N,N
NR,N,N
NR,N,N
NR,N,N
Total de toutes les dépenses professionnelles,N,N
SO= Sans objet ; NR = Non renseigné.,,
8299Z - Autres activités de soutien aux entreprises n.c.a.,14163.03,16041.769
8292Z - Activités de conditionnement,1081.391,N
